.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR22134160_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	0.25
SRR22134160_1_paired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	0.25
SRR22134160_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	0.25
SRR22134160_2_paired	1	1	0.5	1	0.25	1	1	0.5	0.25	1	0.25
SRR22134161_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	0.25
SRR22134161_1_paired	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	0.25
SRR22134161_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	0.25
SRR22134161_2_paired	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	0.25
SRR22134162_1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.25	0.25
SRR22134162_1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	0.25
SRR22134162_2	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	0.25
SRR22134162_2_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	0.25
SRR22134163_1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	0.25
SRR22134163_1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	0.25
SRR22134163_2	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	0.25
SRR22134163_2_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	0.25
SRR22134164_1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.25	0.25
SRR22134164_1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	0.25
SRR22134164_2	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	0.25
SRR22134164_2_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	0.25
SRR22134165_1	1	1	0.5	1	0.25	1	1	0.5	0.5	0.5	0.25
SRR22134165_1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	0.25
SRR22134165_2	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	0.25
SRR22134165_2_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	0.25
SRR22134166_1	1	1	0.5	1	0.25	1	1	0.5	0.5	0.5	0.25
SRR22134166_1_paired	1	1	0.5	1	0.25	1	1	0.5	0.5	0.5	0.25
SRR22134166_2	1	1	0.5	1	0.25	1	1	0.5	0.5	1	0.25
SRR22134166_2_paired	1	1	0.5	1	0.25	1	1	0.5	0.5	1	0.25
SRR22134167_1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	0.5
SRR22134167_1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	0.5
SRR22134167_2	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	0.5
SRR22134167_2_paired	1	1	0.5	1	0.25	1	1	0.5	0.5	1	0.5
SRR22134168_1	1	1	0.5	1	0.25	1	1	0.5	0.5	0.5	0.25
SRR22134168_1_paired	1	1	0.5	1	0.25	1	1	0.5	0.5	0.5	0.25
SRR22134168_2	1	1	0.5	1	0.25	1	1	0.5	0.5	1	0.25
SRR22134168_2_paired	1	1	0.5	1	0.25	1	1	0.5	0.5	1	0.25
SRR22134169_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	0.25
SRR22134169_1_paired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	0.25
SRR22134169_2	1	1	0.5	1	0.25	1	1	0.5	0.25	0.5	0.25
SRR22134169_2_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	0.25
SRR22134170_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	0.25
SRR22134170_1_paired	1	1	1	1	0.25	1	1	0.5	0.25	0.5	0.25
SRR22134170_2	1	1	0.5	1	0.25	1	1	0.5	0.5	1	0.25
SRR22134170_2_paired	1	1	0.5	1	0.25	1	1	0.5	0.5	1	0.25
SRR22134171_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	0.25
SRR22134171_1_paired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	0.25
SRR22134171_2	1	1	0.5	1	0.25	1	1	0.5	0.25	1	0.25
SRR22134171_2_paired	1	1	0.5	1	0.25	1	1	0.5	0.25	1	0.25
SRR22134172_1	1	1	1	1	0.25	1	1	0.5	0.5	0.5	0.25
SRR22134172_1_paired	1	1	1	1	0.25	1	1	0.5	0.5	0.5	0.25
SRR22134172_2	1	1	0.5	1	0.25	1	1	0.5	0.5	1	0.25
SRR22134172_2_paired	1	1	0.5	1	0.25	1	1	0.5	0.5	1	0.25
