Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR22134160_1 - nextera_transposase_sequence	(1, 1.430060683552561e-05)	(2, 1.7875758544407012e-05)	(3, 6.077757905098384e-05)	(4, 0.00033963941234373325)	(5, 0.0007221806451940434)	(6, 0.000950990354562453)	(7, 0.00099389217506903)	(8, 0.0010546697541200137)	(9, 0.0011583491536775745)	(10, 0.0012548782498173724)	(11, 0.0013621328010838144)	(12, 0.001430060683552561)	(13, 0.0014586618972236122)	(14, 0.0015480406899456474)	(15, 0.0016016679655788684)	(16, 0.0017303734270985988)	(17, 0.0017911510061495827)	(18, 0.0018805297988716179)	(19, 0.0020128104121002297)	(20, 0.002334574065899556)	(21, 0.003357067454639637)	(22, 0.004865781475787589)	(23, 0.007965438007387766)	(24, 0.013135107378430273)	(25, 0.014801128074769007)	(26, 0.018544311913967836)	(27, 0.027117525711865438)	(28, 0.07408429371144043)	(29, 0.20601454207258194)	(30, 0.37496906153089926)	(31, 0.7086236699139651)	(32, 1.095959181205885)	(33, 1.5271796797243244)	(34, 1.9820033298247985)	(35, 2.4434982130140455)	(36, 2.9771932849641525)	(37, 3.7255869424877144)	(38, 4.700394957734735)	(39, 5.83512308407173)	(40, 7.053434682210663)	(41, 8.205591673128456)	(42, 9.266357060912112)	(43, 10.28096724013411)	(44, 11.28690410131036)	(45, 12.301696613269511)	(46, 13.29233182513175)	(47, 14.286177523228565)	(48, 15.272315194241031)	(49, 16.2869539746767)	(50, 17.30609744626556)	(51, 18.304615867645882)	(52, 19.23316141977998)	(53, 20.10248458385645)	(54, 20.94489400586847)	(55, 21.79658809686845)	(56, 22.61977392814181)	(57, 23.44302768729764)	(58, 24.275112071174405)	(59, 25.092992377311788)	(60, 25.918048012928892)	(61, 26.723111400189932)	(62, 27.487561064038083)	(63, 28.254384628620926)	(64, 28.99451968569697)	(65, 28.99451968569697)
SRR22134160_1 - polya	(1, 0.07021597956243075)	(2, 0.07573243864923475)	(3, 0.081663615334269)	(4, 0.08918573452975546)	(5, 0.10298939527774656)	(6, 0.11486962440635946)	(7, 0.12103676110417988)	(8, 0.12590611773167634)	(9, 0.12945981853030447)	(10, 0.14230176346860646)	(11, 0.15193679732404186)	(12, 0.1623476391003045)	(13, 0.1702272734666791)	(14, 0.1782820902667889)	(15, 0.1870447871052572)	(16, 0.1951067542087848)	(17, 0.20043373025501807)	(18, 0.21008663986899787)	(19, 0.21487734315889895)	(20, 0.21964302038683786)	(21, 0.22398325456141988)	(22, 0.22840929237701504)	(23, 0.23259937017982404)	(24, 0.23669649403820214)	(25, 0.24004283603771515)	(26, 0.24434731869520834)	(27, 0.24697863035294507)	(28, 0.24997818263669655)	(29, 0.2523735342816471)	(30, 0.2549047416915351)	(31, 0.25780061457572906)	(32, 0.2600100583318178)	(33, 0.2619406402546137)	(34, 0.2643252664444376)	(35, 0.26741419752091117)	(36, 0.2719260389775195)	(37, 0.27504357126766404)	(38, 0.278271933260784)	(39, 0.28050640307883484)	(40, 0.2834952299074597)	(41, 0.2864590306741224)	(42, 0.28869350049217324)	(43, 0.2917788564169379)	(44, 0.29426716200631936)	(45, 0.2965445336448768)	(46, 0.2985966707257747)	(47, 0.30017331262939145)	(48, 0.3026222915499752)	(49, 0.3062725214447431)	(50, 0.31113115261711294)	(51, 0.3185031154408264)	(52, 0.3205767034319776)	(53, 0.32491693760655965)	(54, 0.3271299565143572)	(55, 0.32980059484089164)	(56, 0.3352062242247203)	(57, 0.3378768625512547)	(58, 0.34438006350971)	(59, 0.3479480649151736)	(60, 0.35022543655373106)	(61, 0.3731528844627875)	(62, 0.3757877712722331)	(63, 0.3789768065965553)	(64, 0.38063925214118516)	(65, 0.38063925214118516)
SRR22134160_1_paired - nextera_transposase_sequence	(1, 1.5158312850978892e-05)	(2, 1.8947891063723614e-05)	(3, 6.44228296166603e-05)	(4, 0.00036000993021074865)	(5, 0.0007579156425489446)	(6, 0.0010004486481646068)	(7, 0.0010459235867175435)	(8, 0.0011103464163342038)	(9, 0.0012202441845038008)	(10, 0.0013225627962479083)	(11, 0.00143625014263025)	(12, 0.0015082521286723996)	(13, 0.0015385687543743574)	(14, 0.0016333082096929756)	(15, 0.0016901518828841464)	(16, 0.0018265766985429564)	(17, 0.0018909995281596167)	(18, 0.001985738983478235)	(19, 0.0021259533773497897)	(20, 0.002467015416496815)	(21, 0.0035394660507035713)	(22, 0.005131088900056355)	(23, 0.008405284475867796)	(24, 0.013862277102220197)	(25, 0.015609272658295514)	(26, 0.019542854843124537)	(27, 0.0285809988805207)	(28, 0.07799709877471189)	(29, 0.21685103406789127)	(30, 0.39444582742996)	(31, 0.7453456116172703)	(32, 1.1524637885906486)	(33, 1.6055343909717694)	(34, 2.08283555644518)	(35, 2.5673520788356567)	(36, 3.1275161615089435)	(37, 3.912879719052798)	(38, 4.9349175942954115)	(39, 6.124193345644662)	(40, 7.40095908919155)	(41, 8.607636583693726)	(42, 9.718324062067076)	(43, 10.77997439836751)	(44, 11.831904466552254)	(45, 12.892868889196182)	(46, 13.927158470800599)	(47, 14.965123943271378)	(48, 15.994703079157354)	(49, 17.05398113949661)	(50, 18.117522475325202)	(51, 19.159095626254516)	(52, 20.127264647202963)	(53, 21.03284499438972)	(54, 21.910412779427865)	(55, 22.79720060825762)	(56, 23.65388402776533)	(57, 24.510821349013295)	(58, 25.375993423717553)	(59, 26.226473303691)	(60, 27.084210225941852)	(61, 27.92135079060644)	(62, 28.715456905087095)	(63, 29.51196182257642)	(64, 30.28038975508752)	(65, 30.28038975508752)
SRR22134160_1_paired - polya	(1, 0.06579844650788662)	(2, 0.06933791255859019)	(3, 0.07413172899771227)	(4, 0.08118792362984294)	(5, 0.0944703952655132)	(6, 0.10594144851549148)	(7, 0.11209951311120164)	(8, 0.11699943774028057)	(9, 0.12064122240272826)	(10, 0.13362052778137892)	(11, 0.14315510656464464)	(12, 0.1535726570714799)	(13, 0.16142466312828696)	(14, 0.16928803791973226)	(15, 0.1778752221498118)	(16, 0.18553774929598163)	(17, 0.19062336325748505)	(18, 0.19958950530883907)	(19, 0.2041445783205582)	(20, 0.20878681163117052)	(21, 0.2129477685087642)	(22, 0.21715420032491087)	(23, 0.2212090490125477)	(24, 0.22508578752418557)	(25, 0.22828798111395485)	(26, 0.23224809034627308)	(27, 0.23458247052532383)	(28, 0.2373602313552657)	(29, 0.23948239515440276)	(30, 0.24182056491166626)	(31, 0.24426863243709934)	(32, 0.2462808984680668)	(33, 0.2480089461330784)	(34, 0.2501121620411517)	(35, 0.2528633958236044)	(36, 0.25691824451124123)	(37, 0.25968084702833216)	(38, 0.2625647160482309)	(39, 0.26445950515460326)	(40, 0.26702883918284415)	(41, 0.26962470025857427)	(42, 0.27157633303813783)	(43, 0.2743086189295268)	(44, 0.2764194139940256)	(45, 0.2783369405696744)	(46, 0.280095304860388)	(47, 0.2814443947041251)	(48, 0.2835324522993474)	(49, 0.28533250195040116)	(50, 0.2879852066993225)	(51, 0.2899595769481625)	(52, 0.29149435612432406)	(53, 0.2928851313284014)	(54, 0.29425316906320226)	(55, 0.29588268769468246)	(56, 0.2975993666250558)	(57, 0.2996987929549164)	(58, 0.30105546195507904)	(59, 0.30216959794962595)	(60, 0.30320794237991805)	(61, 0.3045873488493571)	(62, 0.30569011610926583)	(63, 0.3065389816289206)	(64, 0.3075621677463617)	(65, 0.3075621677463617)
SRR22134160_2 - nextera_transposase_sequence	(1, 1.0725455126644208e-05)	(2, 4.2901820506576834e-05)	(3, 8.937879272203507e-05)	(4, 0.00038969153626807287)	(5, 0.0008187097413338412)	(6, 0.001047519450702251)	(7, 0.0010975715746265905)	(8, 0.0011619243053864559)	(9, 0.0012799043117795422)	(10, 0.001369283104501577)	(11, 0.0014872631108946634)	(12, 0.0015659164484900544)	(13, 0.0016052431172877497)	(14, 0.001705347365136429)	(15, 0.0017518243373518872)	(16, 0.0018698043437449735)	(17, 0.001927006771087076)	(18, 0.002034261322353518)	(19, 0.002184417694126537)	(20, 0.002513331651343626)	(21, 0.00356800140546364)	(22, 0.005130342702244813)	(23, 0.00828362650947821)	(24, 0.013556975280078279)	(25, 0.015330250527683454)	(26, 0.019130636794224384)	(27, 0.027914784542945992)	(28, 0.07548575318132193)	(29, 0.2090998979973466)	(30, 0.38017448241903057)	(31, 0.7176938297993972)	(32, 1.1099880765115357)	(33, 1.5463782444010175)	(34, 2.0056315074687956)	(35, 2.470955378138255)	(36, 3.0075463229725554)	(37, 3.759536583115252)	(38, 4.736386009988045)	(39, 5.87213305456207)	(40, 7.092646946153675)	(41, 8.247331569329646)	(42, 9.307485606171083)	(43, 10.32267138481821)	(44, 11.326445279210589)	(45, 12.338885341345296)	(46, 13.327768728870183)	(47, 14.318546946800778)	(48, 15.301138067318034)	(49, 16.310074480778034)	(50, 17.322982887786605)	(51, 18.31703236953083)	(52, 19.240233069860146)	(53, 20.104483093661717)	(54, 20.939595631035907)	(55, 21.782480548225205)	(56, 22.598941519134158)	(57, 23.411784436513724)	(58, 24.233958499853472)	(59, 25.043962746776188)	(60, 25.861825177155023)	(61, 26.663209733307625)	(62, 27.421427907727193)	(63, 28.181068992526896)	(64, 28.91350317282201)	(65, 28.91350317282201)
SRR22134160_2 - polya	(1, 0.08262890629566698)	(2, 0.09321135535395593)	(3, 0.10046176301956741)	(4, 0.10975715746265906)	(5, 0.12686425838965656)	(6, 0.14332068170563766)	(7, 0.15274478161024904)	(8, 0.1630984209591696)	(9, 0.1759939931731048)	(10, 0.211287890843182)	(11, 0.25198026759367015)	(12, 0.3028940030798502)	(13, 0.35665713447800873)	(14, 0.42394148963915673)	(15, 0.5026520296618897)	(16, 0.574087135957049)	(17, 0.6404205007636345)	(18, 0.7212511057497342)	(19, 0.7856074116613083)	(20, 0.8579756325524857)	(21, 0.9334685360372253)	(22, 1.0266191138121303)	(23, 1.121435712283374)	(24, 1.2309104327610314)	(25, 1.352197454484833)	(26, 1.4789115565027164)	(27, 1.5872279278266963)	(28, 1.6821982578214218)	(29, 1.762896582194293)	(30, 1.8378281868607382)	(31, 1.9049623856501132)	(32, 1.960738327460372)	(33, 2.0087740658209023)	(34, 2.053921081600657)	(35, 2.1025896218136593)	(36, 2.1604677528287404)	(37, 2.2074881481039488)	(38, 2.2510871231937575)	(39, 2.2908142089828476)	(40, 2.3323753475985938)	(41, 2.384311576473514)	(42, 2.4227694834059514)	(43, 2.4652923378313867)	(44, 2.507454101934225)	(45, 2.5416790292433467)	(46, 2.5752926056102496)	(47, 2.6049163126700408)	(48, 2.6364026737701596)	(49, 2.667799656077556)	(50, 2.7065256993881595)	(51, 2.7425382025517218)	(52, 2.7742569485129174)	(53, 2.806154452059557)	(54, 2.8346376857242155)	(55, 2.8662920789546513)	(56, 2.8957727799460873)	(57, 2.9274307483282325)	(58, 2.9540191515871834)	(59, 2.979706616615496)	(60, 3.0072495853807184)	(61, 3.036211889374367)	(62, 3.061166448302359)	(63, 3.0841403731836308)	(64, 3.109606178805993)	(65, 3.109606178805993)
SRR22134160_2_paired - nextera_transposase_sequence	(1, 1.1368734638234169e-05)	(2, 1.8947891063723614e-05)	(3, 6.821240782940502e-05)	(4, 0.0003865369776999617)	(5, 0.0008337072068038391)	(6, 0.0010762402124195013)	(7, 0.0011292943073979275)	(8, 0.0011937171370145878)	(9, 0.0013149836398224188)	(10, 0.0014097230951410369)	(11, 0.0015272000197361234)	(12, 0.0016105707404165072)	(13, 0.0016522561007566992)	(14, 0.0017583642907135514)	(15, 0.0018038392292664882)	(16, 0.0019251057320743192)	(17, 0.0019743702488400007)	(18, 0.0020728992823713633)	(19, 0.0022244824108811523)	(20, 0.0025617548718154326)	(21, 0.0036569429752986576)	(22, 0.005282672028566144)	(23, 0.008598552964717777)	(24, 0.014119968420686838)	(25, 0.015954124275655283)	(26, 0.019914233507973517)	(27, 0.029073644048177513)	(28, 0.0789217558586216)	(29, 0.21899972491451752)	(30, 0.39862952177683014)	(31, 0.7530460345455676)	(32, 1.1647988656731327)	(33, 1.6226860219626522)	(34, 2.104398256475698)	(35, 2.5923822429308356)	(36, 3.1552937698083623)	(37, 3.9435374067939026)	(38, 4.9672654339194)	(39, 6.156696557975374)	(40, 7.434455171014001)	(41, 8.642500703250978)	(42, 9.751384342395061)	(43, 10.812216129801543)	(44, 11.860667365186986)	(45, 12.917626203660042)	(46, 13.948694643783627)	(47, 14.982241468058346)	(48, 16.006852466907414)	(49, 17.058441473053012)	(50, 18.113312253930843)	(51, 19.147662468786667)	(52, 20.107714213203412)	(53, 21.00607162431668)	(54, 21.87343028564969)	(55, 22.748280943109297)	(56, 23.59521756745383)	(57, 24.43826229497387)	(58, 25.290288322858117)	(59, 26.129240305908397)	(60, 26.976351250850712)	(61, 27.805852025838405)	(62, 28.5897414374575)	(63, 29.375101205423142)	(64, 30.130178453890743)	(65, 30.130178453890743)
SRR22134160_2_paired - polya	(1, 0.07562103323532095)	(2, 0.08210879113553991)	(3, 0.08679270980649238)	(4, 0.09387543148611227)	(5, 0.10544501376962191)	(6, 0.11619225758096595)	(7, 0.12281644029684373)	(8, 0.12952778331161463)	(9, 0.1376943243600795)	(10, 0.16354303734921127)	(11, 0.19042630519042233)	(12, 0.22598391756060607)	(13, 0.26120046789164275)	(14, 0.3051898917851835)	(15, 0.355447278042604)	(16, 0.40202877343366217)	(17, 0.4428463203631356)	(18, 0.4947294356738236)	(19, 0.5320681498039973)	(20, 0.5720519895266669)	(21, 0.6118690878079757)	(22, 0.6578783568889094)	(23, 0.70143955844441)	(24, 0.7517689466878726)	(25, 0.8066344600519907)	(26, 0.8659224111903819)	(27, 0.9104499551901324)	(28, 0.9489672281444698)	(29, 0.9833424921122772)	(30, 1.0179110245689345)	(31, 1.0524075550395497)	(32, 1.0795523037774402)	(33, 1.1044877284173005)	(34, 1.128661447836399)	(35, 1.1583111077729138)	(36, 1.1947592710230925)	(37, 1.224291454035012)	(38, 1.2516787357785182)	(39, 1.2762617296445933)	(40, 1.3028418312287848)	(41, 1.3383425999257774)	(42, 1.363168126797468)	(43, 1.3914270115299054)	(44, 1.4195570506031094)	(45, 1.441741241460517)	(46, 1.463356995586013)	(47, 1.4821684618340778)	(48, 1.5020069037777963)	(49, 1.5218491352997279)	(50, 1.5469854075848635)	(51, 1.5709772272497504)	(52, 1.5915546369449542)	(53, 1.6125375315089217)	(54, 1.6314930017290707)	(55, 1.6533512888601825)	(56, 1.6736899551279834)	(57, 1.6956846670747536)	(58, 1.7138746424959284)	(59, 1.7314052313080854)	(60, 1.751023877715465)	(61, 1.771790766321306)	(62, 1.78865438936802)	(63, 1.8044720888280166)	(64, 1.8214835054250276)	(65, 1.8214835054250276)
SRR22134161_1 - nextera_transposase_sequence	(1, 4.746015497520355e-05)	(2, 0.00010085282932230755)	(3, 0.00017797558115701333)	(4, 0.0005635893403305422)	(5, 0.0010500559288263787)	(6, 0.0013288843393056994)	(7, 0.0014060070911404053)	(8, 0.0015009274010908122)	(9, 0.001856878563404839)	(10, 0.0020526517026775537)	(11, 0.0022306272838345667)	(12, 0.0028416767791403126)	(13, 0.0030255848796692263)	(14, 0.0033340758870080496)	(15, 0.0034408612357022575)	(16, 0.0038027449173881848)	(17, 0.003974787979173298)	(18, 0.004591769993850943)	(19, 0.00493585611742117)	(20, 0.0057604763101153315)	(21, 0.008928441654710169)	(22, 0.01294475726948677)	(23, 0.021979984272891145)	(24, 0.035310355301551445)	(25, 0.03981313750482388)	(26, 0.058714144223698694)	(27, 0.06661626002707009)	(28, 0.09122435038171313)	(29, 0.14711461538438722)	(30, 0.21201637731297807)	(31, 0.32417065603875594)	(32, 0.5011851690575214)	(33, 0.6976346155386327)	(34, 0.9067559233981234)	(35, 1.1200833874922915)	(36, 1.3650074497612013)	(37, 1.6709652713282228)	(38, 2.099607593506146)	(39, 2.6086236881345757)	(40, 3.22107325801209)	(41, 3.866448310403652)	(42, 4.45087859128768)	(43, 4.988625877234224)	(44, 5.541073946184337)	(45, 6.074330314966352)	(46, 6.61614730920202)	(47, 7.143287250511606)	(48, 7.7090419604128915)	(49, 8.313500426696455)	(50, 8.911427189151558)	(51, 9.475680971651753)	(52, 9.983089353530398)	(53, 10.49972873555172)	(54, 11.009302487001108)	(55, 11.530919252775455)	(56, 12.01538658224296)	(57, 12.505472007555657)	(58, 12.993534443762535)	(59, 13.46667066122971)	(60, 13.953338955384192)	(61, 14.409247136595368)	(62, 14.853296211582117)	(63, 15.31902864487316)	(64, 15.783568641770454)	(65, 15.783568641770454)
SRR22134161_1 - polya	(1, 0.36193707436027417)	(2, 0.38008465111891765)	(3, 0.39097675668572685)	(4, 0.4066682704244035)	(5, 0.45046806094714453)	(6, 0.4966645892961333)	(7, 0.5163427560527271)	(8, 0.5448425791153367)	(9, 0.5982589835399283)	(10, 0.6302056003576123)	(11, 0.657690962607627)	(12, 0.6738570778960558)	(13, 0.6838830356345675)	(14, 0.6915241205855752)	(15, 0.69684559046217)	(16, 0.7074766651766156)	(17, 0.7135634300521854)	(18, 0.7299905761929777)	(19, 0.7373884278497376)	(20, 0.7501314794605798)	(21, 0.7675018961815042)	(22, 0.7907039794450069)	(23, 0.8156383583651045)	(24, 0.8280907165267235)	(25, 0.8364259062442436)	(26, 0.8442983594507555)	(27, 0.848439257972342)	(28, 0.8522894630447054)	(29, 0.854698065909697)	(30, 0.8577711109443414)	(31, 0.8606009226847379)	(32, 0.863401071828275)	(33, 0.8656494966702252)	(34, 0.8682954003100928)	(35, 0.8716472737552166)	(36, 0.8780365971187534)	(37, 0.8813113478120423)	(38, 0.8862472039294635)	(39, 0.8886142791588518)	(40, 0.8931170613621242)	(41, 0.8973291501161735)	(42, 0.9008708641811981)	(43, 0.90552789188814)	(44, 0.9088738328138918)	(45, 0.9121485835071809)	(46, 0.9155419845879079)	(47, 0.9181404280728003)	(48, 0.9222931916331306)	(49, 0.9265883356583865)	(50, 0.9335234508041381)	(51, 0.9386966076964354)	(52, 0.9426951257530962)	(53, 0.9454478147416581)	(54, 0.9485149272569305)	(55, 0.9530117769408312)	(56, 0.9581552712362689)	(57, 0.9643606864992766)	(58, 0.9682939468428466)	(59, 0.9710110407151771)	(60, 0.9739417052848959)	(61, 0.9926588039032418)	(62, 0.9985142005233075)	(63, 1.0039483882679683)	(64, 1.0063866537298194)	(65, 1.0063866537298194)
