Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR22134160_1	1.0301334879419608	2.2553451288790347
SRR22134160_1_paired	0.6080454033913163	0.9241227533817153
SRR22134160_2	0.0	0.0
SRR22134160_2_paired	0.0	0.0
SRR22134161_1	1.0845120013383764	4.064499537115176
SRR22134161_1_paired	0.590121610599069	2.172651266325631
SRR22134161_2	0.5031013728146453	1.7657254032555887
SRR22134161_2_paired	0.48599019080065076	1.5529141179464279
SRR22134162_1	1.081312229998555	1.362339167519981
SRR22134162_1_paired	0.6486627336069071	0.7202492472875637
SRR22134162_2	0.0	0.0
SRR22134162_2_paired	0.0	0.0
SRR22134163_1	0.7785040374195269	1.0049418093793487
SRR22134163_1_paired	0.4819643562672015	0.5241835142232811
SRR22134163_2	0.0	0.0
SRR22134163_2_paired	0.0	0.0
SRR22134164_1	1.119828822086839	1.4394332052536423
SRR22134164_1_paired	0.7393316348963545	0.8343317205951469
SRR22134164_2	0.0	0.0
SRR22134164_2_paired	0.0	0.0
SRR22134165_1	0.7951975014786098	0.9586181315853696
SRR22134165_1_paired	0.5024757039787393	0.5345331618329086
SRR22134165_2	0.0	0.0
SRR22134165_2_paired	0.0	0.0
SRR22134166_1	0.4675287908223284	0.48973622973944725
SRR22134166_1_paired	0.3053519838729029	0.32030327216974613
SRR22134166_2	0.0	0.0
SRR22134166_2_paired	0.0	0.0
SRR22134167_1	0.379256477683677	0.4144945822216751
SRR22134167_1_paired	0.23053846518602816	0.2530214390288718
SRR22134167_2	0.0	0.0
SRR22134167_2_paired	0.0	0.0
SRR22134168_1	0.6695386483292299	0.6963329671299582
SRR22134168_1_paired	0.42489660189106093	0.4427658501373193
SRR22134168_2	0.0	0.0
SRR22134168_2_paired	0.0	0.0
SRR22134169_1	0.9780738871547056	1.930624910279557
SRR22134169_1_paired	0.6315365712195328	1.1267631305070709
SRR22134169_2	0.1794426731351272	0.15619978491751688
SRR22134169_2_paired	0.18743524735576275	0.16092348511049362
SRR22134170_1	0.23040444657959624	0.2420526332942594
SRR22134170_1_paired	0.12770529633380828	0.0
SRR22134170_2	0.0	0.0
SRR22134170_2_paired	0.0	0.0
SRR22134171_1	1.2150657033843986	2.215065176059336
SRR22134171_1_paired	0.7100867969382805	0.9028685230595981
SRR22134171_2	0.0	0.0
SRR22134171_2_paired	0.0	0.0
SRR22134172_1	0.5104061761857885	0.5483895801055056
SRR22134172_1_paired	0.3018587383550608	0.32306691515656977
SRR22134172_2	0.0	0.0
SRR22134172_2_paired	0.0	0.0
