Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR22134160_1	(1, 0.3230793096281946)	(2, 0.0)	(3, 0.0)	(4, 0.0035107989781215376)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 4.647697221545823e-05)	(14, 0.0)	(16, 0.00042186790164800553)	(18, 0.0)	(20, 0.0020324737464990773)	(22, 0.0)	(24, 0.0)	(26, 0.0005166094219333627)	(28, 0.00035215244332481815)	(30, 3.575151708881403e-06)	(32, 0.0006721285212697036)	(34, 0.0015194394762745962)	(36, 0.00010546697918260587)	(38, 7.150303673397009e-06)	(40, 1.9663335101841774e-05)	(42, 0.00011440485877435214)	(44, 0.0004808579220359489)	(46, 0.0005273348959130294)	(48, 0.002457916887730222)	(50, 0.0016159686301877242)	(52, 0.0016320568134528673)	(54, 0.001735736216717124)	(56, 0.001503351347331721)	(58, 0.0005684491420350623)	(60, 0.0007239682469314473)	(62, 0.0)	(64, 0.00027528686858040857)	(66, 0.0011977024134954962)	(68, 0.001533847619211066)	(70, 0.00015732720248295222)	(72, 0.00035107226874596506)	(74, 2.6493033344642706e-05)	(76, 0.0)
SRR22134160_1_paired	(1, 0.3034921607458739)	(2, 0.0)	(3, 0.0)	(4, 0.003255247684747717)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 4.7369727659309035e-05)	(14, 0.0)	(16, 0.0004016952905509406)	(18, 0.0)	(20, 0.0016996258284160083)	(22, 0.0)	(24, 0.0)	(26, 0.00039790571233819585)	(28, 0.0002444277947220346)	(30, 0.0)	(32, 0.0005059086914014205)	(34, 0.0013964595713964302)	(36, 4.9276483812059114e-05)	(38, 5.691599864517157e-06)	(40, 7.597354783400934e-06)	(42, 0.00011030002138299035)	(44, 0.00029517403966030763)	(46, 0.0003109262102669208)	(48, 0.0022154065180165212)	(50, 0.0011398401051457478)	(52, 0.0014033313743006524)	(54, 0.001225211749576797)	(56, 0.0013831083062993128)	(58, 0.00035488670213103485)	(60, 0.0006043342310431937)	(62, 0.0)	(64, 0.00022050809203767914)	(66, 0.0008227824073323889)	(68, 0.0013912790598084902)	(70, 0.0001512837473310056)	(72, 0.000330647991875551)	(74, 6.1883598107121e-06)	(76, 0.0)
SRR22134160_2	(1, 0.8189993286222605)	(2, 0.04165051740846834)	(3, 0.01664948150826069)	(4, 0.0)	(5, 0.0014264855318436797)	(6, 0.01856218767251224)	(7, 0.019677635005683237)	(8, 0.0)	(9, 6.792788246874665e-05)	(10, 0.008719795017961742)	(12, 0.014009231971251777)	(14, 0.0015194394762745962)	(16, 0.019990460780210363)	(18, 0.0005666615458577023)	(20, 0.0)	(22, 0.024484426478274285)	(24, 0.0006828539763963479)	(26, 0.0)	(28, 0.01743243973250572)	(30, 0.0001483687959185782)	(32, 0.009356172022142631)	(34, 0.01972232440204426)	(36, 0.00017160728202630734)	(38, 0.015171156276638231)	(40, 0.0)	(42, 0.023040065187886198)	(44, 0.0056040503036715985)	(46, 0.006748098850513648)	(48, 0.0030317286491314296)	(50, 0.019557867423435713)	(52, 0.0)	(54, 0.02021569533786989)	(56, 0.00542886786993641)	(58, 0.007906448286858743)	(60, 0.015437505630864143)	(62, 0.011540590128862773)	(64, 0.005829289654667947)	(66, 0.005693562932828095)	(68, 0.017587731279202642)	(70, 0.0)	(72, 0.02134874236841593)	(74, 0.0)	(76, 0.0)
SRR22134160_2_paired	(1, 0.7942842246566557)	(2, 0.03197267138092723)	(3, 0.01225928551822918)	(4, 0.0)	(5, 0.0012278233409292903)	(6, 0.01155442397065866)	(7, 0.01470735304366227)	(8, 0.0)	(9, 6.442282961666028e-05)	(10, 0.005403938531373975)	(12, 0.010898826939853824)	(14, 0.0013756168912263343)	(16, 0.014186286039409869)	(18, 0.0005532784190607296)	(20, 0.0)	(22, 0.017685961518879623)	(24, 0.0005911742011881768)	(26, 0.0)	(28, 0.012062227451166453)	(30, 0.0001477935502970442)	(32, 0.008011168341742345)	(34, 0.013907752040773132)	(36, 0.00015921955426902786)	(38, 0.010055341012928393)	(40, 0.0)	(42, 0.016078330166291413)	(44, 0.0029626239332550776)	(46, 0.003981279233756462)	(48, 0.0023614425951308015)	(50, 0.011789157057614472)	(52, 0.0)	(54, 0.012413452922557877)	(56, 0.0025485398372687806)	(58, 0.004538151842111468)	(60, 0.007304203122195094)	(62, 0.006082614760962559)	(64, 0.002409752156115531)	(66, 0.004181179509570634)	(68, 0.008104213787129748)	(70, 0.0)	(72, 0.010794662523443339)	(74, 0.0)	(76, 0.0)
SRR22134161_1	(1, 0.21987103296137425)	(2, 3.5595116231402663e-05)	(3, 3.5595116231402663e-05)	(4, 0.0026755662367271005)	(5, 0.00012458290680990934)	(6, 0.0014475347267437085)	(7, 3.5595116231402663e-05)	(8, 3.5595116231402663e-05)	(9, 3.5595116231402663e-05)	(10, 0.00028772718953717154)	(12, 3.5595116231402663e-05)	(14, 0.0016789029822478255)	(16, 9.49203099504071e-05)	(18, 3.5595116231402663e-05)	(20, 0.002817946701652711)	(22, 9.49203099504071e-05)	(24, 3.5595116231402663e-05)	(26, 0.0006496108712230987)	(28, 7.415649214875555e-05)	(30, 3.5595116231402663e-05)	(32, 0.002657768678611399)	(34, 0.0006852059874545013)	(36, 0.002746757609853397)	(38, 0.0023759749951323657)	(40, 0.0013110873256535652)	(42, 0.0)	(44, 0.0002017057424082408)	(46, 0.0011242129545283447)	(48, 0.0002017057543744787)	(50, 1.7797566562454005e-05)	(52, 0.00013348174921840503)	(54, 0.0006644424849982829)	(56, 0.0003737488978115341)	(58, 0.0)	(60, 0.0005873196965609822)	(62, 0.0007593628399980376)	(64, 0.0005457926564547278)	(66, 0.001848016292443862)	(68, 0.0018984879670569622)	(70, 0.002856779667679098)	(72, 0.0007392476283415855)	(74, 0.0006893463741571986)	(76, 0.0)
SRR22134161_1_paired	(1, 0.20703430449033502)	(2, 0.0)	(3, 0.0)	(4, 0.0020519150183058265)	(5, 1.9604283614386876e-05)	(6, 0.0011827917780680083)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00026139044819182503)	(12, 0.0)	(14, 0.0010455617927673001)	(16, 3.267380602397813e-05)	(18, 0.0)	(20, 0.0026596478103518197)	(22, 5.554547024076282e-05)	(24, 0.0)	(26, 0.0005685242248172195)	(28, 3.267380602397813e-05)	(30, 0.0)	(32, 0.002519150444448714)	(34, 0.0006142675532507889)	(36, 0.00267690904144169)	(38, 0.0016073013250349883)	(40, 0.0012591999476382688)	(42, 0.0)	(44, 0.00015798471537374937)	(46, 0.0010684586168664702)	(48, 0.00019163402500440758)	(50, 1.6552316642374488e-05)	(52, 0.00013267655343596283)	(54, 0.000458611096294871)	(56, 0.00031631015349266507)	(58, 0.0)	(60, 0.0005948395264983798)	(62, 0.0007398364218323653)	(64, 0.00029847177421180396)	(66, 0.0017334694039626707)	(68, 0.0018675140447150834)	(70, 0.0026624405534317443)	(72, 0.0004003953734653914)	(74, 0.00044788284142263754)	(76, 0.0)
SRR22134161_2	(1, 0.24448505583538918)	(2, 0.00043307391414873237)	(3, 0.0004627365110082347)	(4, 0.017536527263337712)	(5, 0.00017797558115701333)	(6, 0.0022840199581816707)	(7, 0.001269559145586695)	(8, 0.0015721176335536176)	(9, 0.015388955250709751)	(10, 0.002981090984379973)	(12, 0.01095439702021417)	(14, 0.0011954026534379395)	(16, 0.00046570277069418487)	(18, 0.002660734938297349)	(20, 0.014472381007751134)	(22, 0.0033044132901485475)	(24, 0.007457176850478858)	(26, 0.0024501305005948833)	(28, 0.0005932519371900444)	(30, 0.008990733108115124)	(32, 0.0026666674576692495)	(34, 6.229145340495467e-05)	(36, 0.00560919706613187)	(38, 0.0007474974408594559)	(40, 0.008593254310197793)	(42, 0.0007771600377189582)	(44, 0.007759735338445781)	(46, 3.5595116231402663e-05)	(48, 0.007854655648396188)	(50, 2.6696337173552e-05)	(52, 0.009978497583536547)	(54, 0.00018094184084296356)	(56, 0.00022543573613221688)	(58, 0.008845386383503562)	(60, 0.0011924363937519892)	(62, 5.932519371900444e-05)	(64, 0.009480176079735992)	(66, 0.0002432374284737353)	(68, 0.0005428474055053211)	(70, 0.007707084739129718)	(72, 0.0009307234302100456)	(74, 0.0)	(76, 0.0)
SRR22134161_2_paired	(1, 0.22031293925847975)	(2, 0.00036594662746855506)	(3, 0.00026792520939662067)	(4, 0.00997858035972292)	(5, 0.0001241604628911169)	(6, 0.0015618079279461547)	(7, 0.0011566527332488258)	(8, 0.0009148665686713876)	(9, 0.00872390620840216)	(10, 0.0023688509367384147)	(12, 0.007129424474432028)	(14, 0.0009410056134905702)	(16, 0.0002483209257822338)	(18, 0.0023819204591480057)	(20, 0.009998184643337307)	(22, 0.002875294930110076)	(24, 0.004270466447333942)	(26, 0.0021205300109561807)	(28, 0.00046723542614288723)	(30, 0.005208204680222114)	(32, 0.002359048794931221)	(34, 1.9604283614386876e-05)	(36, 0.0031913537333427113)	(38, 0.0005838605079835707)	(40, 0.0051692243139647995)	(42, 0.0007195986725583093)	(44, 0.004630168902136279)	(46, 6.6472021078809666e-06)	(48, 0.003955758740875989)	(50, 0.0)	(52, 0.005520480326812435)	(54, 5.733473675278378e-05)	(56, 0.0002064994447703863)	(58, 0.004074443169061798)	(60, 0.000985797253978178)	(62, 0.0)	(64, 0.004221823983356937)	(66, 8.974672025788513e-05)	(68, 0.0003084372917181884)	(70, 0.0029506355540241014)	(72, 0.0006200890784236117)	(74, 0.0)	(76, 0.0)
SRR22134162_1	(1, 0.21146361090827476)	(2, 0.0)	(3, 0.0)	(4, 0.002398593286856673)	(5, 5.357682599508033e-05)	(6, 0.001191054054813709)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00029467254297294184)	(12, 0.0)	(14, 0.0016814880773840595)	(16, 5.357682599508033e-05)	(18, 0.0)	(20, 0.0027777523631295495)	(22, 5.7698120302394195e-05)	(24, 0.0)	(26, 0.0006058302631751391)	(28, 3.709164876582484e-05)	(30, 0.0)	(32, 0.0026376283566808775)	(34, 0.0006594070891702194)	(36, 0.0029137550752709068)	(38, 0.0022358021617177753)	(40, 0.001374451651489176)	(42, 0.0)	(44, 0.0002926118958192849)	(46, 0.0011498411117405701)	(48, 0.0001854582438291242)	(50, 3.297035445851097e-05)	(52, 0.00013188141783404387)	(54, 0.0006903167964750735)	(56, 0.0004409784908825842)	(58, 0.0)	(60, 0.0007109232680116429)	(62, 0.0007171052981346732)	(64, 0.00045540354647675496)	(66, 0.0018834653033235353)	(68, 0.0018051958358253517)	(70, 0.0028501185117608503)	(72, 0.0006374508852371507)	(74, 0.000714231683836137)	(76, 0.0)
SRR22134162_1_paired	(1, 0.20059957130293865)	(2, 0.0)	(3, 0.0)	(4, 0.0018782731395406238)	(5, 4.4194662106838205e-06)	(6, 0.0010253161608786464)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002828458374837645)	(12, 0.0)	(14, 0.0009568144346130472)	(16, 3.977519589615439e-05)	(18, 0.0)	(20, 0.00271797171957055)	(22, 4.640439521218012e-05)	(24, 0.0)	(26, 0.0005524332763354777)	(28, 2.8726530369444833e-05)	(30, 0.0)	(32, 0.002523515206300462)	(34, 0.0006319836681277864)	(36, 0.0028559401034203994)	(38, 0.001593788933690345)	(40, 0.0012947058723114069)	(42, 0.0)	(44, 0.00023584737737716356)	(46, 0.0010885111219962225)	(48, 0.00018350897492043264)	(50, 2.694954102685836e-05)	(52, 0.0001239207181381358)	(54, 0.0005083485402975005)	(56, 0.00037813323005843086)	(58, 0.0)	(60, 0.0007247079262350925)	(62, 0.0006779190614688322)	(64, 0.0003052039528831604)	(66, 0.0017763303636996516)	(68, 0.0017166838407340174)	(70, 0.0026807787614308476)	(72, 0.0004137026880125302)	(74, 0.0005030397094638947)	(76, 0.0)
