Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR22134160_1	(1, 31.50375714480662)	(2, 31.75495391790329)	(3, 35.74796596212463)	(4, 36.387045602239844)	(5, 36.63678131808765)	(6, 40.03841046466926)	(7, 39.98891059442939)	(8, 40.33798422435707)	(9, 40.29188539593786)	(10, 40.48881106220581)	(12, 40.289500322854074)	(14, 40.19617116625131)	(16, 40.11544198831919)	(18, 39.72446239639345)	(20, 39.415118301233775)	(22, 39.21543903524388)	(24, 39.225539285715435)	(26, 39.14662430064223)	(28, 39.1229758697638)	(30, 39.15615066776147)	(32, 39.10433442097791)	(34, 39.05932347547219)	(36, 39.04236662181043)	(38, 38.982907377826336)	(40, 39.02179223076604)	(42, 39.08609964877708)	(44, 39.18847088610853)	(46, 39.3347037486182)	(48, 39.46107666055077)	(50, 39.57078652267862)	(52, 39.62532342611091)	(54, 39.65069795901732)	(56, 39.67428993909371)	(58, 39.6962660041672)	(60, 39.695496720870736)	(62, 39.675321536844976)	(64, 39.68296314330531)	(66, 39.6681054130027)	(68, 39.66551382738878)	(70, 39.59307713779486)	(72, 39.56873252306589)	(74, 39.467876280985635)	(76, 38.829464155171316)
SRR22134160_1_paired	(1, 31.56641105077387)	(2, 31.78979190706014)	(3, 35.8377649734667)	(4, 36.459345613360476)	(5, 36.68988244387322)	(6, 40.11188653881565)	(7, 40.06575577585721)	(8, 40.416152114578956)	(9, 40.38363700297266)	(10, 40.56463983981301)	(12, 40.37672725659056)	(14, 40.2926001739947)	(16, 40.20671745560443)	(18, 39.82586359466277)	(20, 39.51155482187637)	(22, 39.309981529216834)	(24, 39.32405210048552)	(26, 39.269888777016334)	(28, 39.257863289525936)	(30, 39.29824431494109)	(32, 39.25742559324236)	(34, 39.22987348379449)	(36, 39.23552242330035)	(38, 39.20761580040567)	(40, 39.27524490492759)	(42, 39.37056136420841)	(44, 39.50559338469563)	(46, 39.69800642082642)	(48, 39.886548865614614)	(50, 40.05062122730502)	(52, 40.1499323637913)	(54, 40.21375636057519)	(56, 40.26132354520219)	(58, 40.29543606640027)	(60, 40.31458564805408)	(62, 40.31351676561963)	(64, 40.339283965392866)	(66, 40.34009303169742)	(68, 40.36701798521574)	(70, 40.328212669269234)	(72, 40.3381767560095)	(74, 40.31441696602913)	(76, 40.057777763562164)
SRR22134160_2	(1, 30.49473474894802)	(2, 30.439465584892496)	(3, 32.3180896491457)	(4, 34.27688023395507)	(5, 34.08057830653)	(6, 36.732777037344)	(7, 37.355370973650736)	(8, 37.49636580466065)	(9, 37.97204778361866)	(10, 37.79651046244909)	(12, 37.91752173272158)	(14, 37.89149695212954)	(16, 37.93826903524281)	(18, 38.20679308498447)	(20, 38.1575449054249)	(22, 38.27577737115591)	(24, 38.49401415924534)	(26, 38.62625312195654)	(28, 38.56440900364777)	(30, 38.534753763749904)	(32, 38.50457433510848)	(34, 38.326734634114146)	(36, 38.264870441328526)	(38, 37.91758883831916)	(40, 37.78452548137541)	(42, 37.75716470234127)	(44, 37.683095799657934)	(46, 37.63283890891947)	(48, 37.68283974729255)	(50, 37.70823703513241)	(52, 37.75823594292356)	(54, 37.7371698262487)	(56, 37.75361094791536)	(58, 37.76152033689371)	(60, 37.746483248268554)	(62, 37.807499899895745)	(64, 37.732544694474065)	(66, 37.7861384802229)	(68, 37.806984377721434)	(70, 37.79663434173527)	(72, 37.71824235748889)	(74, 37.79352634499433)	(76, 37.44291690319707)
SRR22134160_2_paired	(1, 30.974438878101434)	(2, 30.873941045001203)	(3, 32.837768876732255)	(4, 34.92343979559622)	(5, 34.691963073895145)	(6, 37.43827377739586)	(7, 38.07481396676335)	(8, 38.29452639765234)	(9, 38.863923294995814)	(10, 38.61472212860912)	(12, 38.72689565218281)	(14, 38.71904948207645)	(16, 38.73538910119579)	(18, 39.050008600447754)	(20, 38.96355945380203)	(22, 39.03972969165983)	(24, 39.22753266133248)	(26, 39.329768773958904)	(28, 39.24417216872369)	(30, 39.19517718570839)	(32, 39.14621041610289)	(34, 38.95637460298957)	(36, 38.87845365710013)	(38, 38.531010773084944)	(40, 38.40471227802102)	(42, 38.3922127415907)	(44, 38.32906545779824)	(46, 38.29665032136865)	(48, 38.367939499731136)	(50, 38.42534872751962)	(52, 38.50705080549132)	(54, 38.516778474243935)	(56, 38.56606432533622)	(58, 38.606994198679736)	(60, 38.62558181180851)	(62, 38.71965656837036)	(64, 38.66712077155593)	(66, 38.75114840471903)	(68, 38.80273009039125)	(70, 38.814893970894566)	(72, 38.77146208000913)	(74, 38.95518975232414)	(76, 39.067004759613354)
SRR22134161_1	(1, 31.188696830165913)	(2, 31.528955292237388)	(3, 34.98173822224345)	(4, 36.08236027656219)	(5, 36.38162236014011)	(6, 39.38316451855084)	(7, 39.22524951434913)	(8, 39.673303514513464)	(9, 39.809650963189014)	(10, 40.109546758486246)	(12, 39.51911086959166)	(14, 39.226956418822816)	(16, 39.16113295102201)	(18, 38.409031192890225)	(20, 37.90056634796184)	(22, 37.67518032634196)	(24, 37.6076799132903)	(26, 37.45891172678138)	(28, 37.37880812126306)	(30, 37.456232452720045)	(32, 37.34417380620654)	(34, 37.217051840430656)	(36, 37.296305735597706)	(38, 37.18597180462213)	(40, 37.2574424079679)	(42, 37.34013870710653)	(44, 37.508812672198864)	(46, 37.682650285470004)	(48, 37.849313936437895)	(50, 38.211527816083745)	(52, 38.362811047329245)	(54, 38.384530159370684)	(56, 38.48433980253125)	(58, 38.49608812453218)	(60, 38.565806710002946)	(62, 38.55161309134417)	(64, 38.55497257194299)	(66, 38.603741168994176)	(68, 38.59387270680303)	(70, 38.58761936749357)	(72, 38.5203578293182)	(74, 38.46715264395444)	(76, 37.43600018114639)
SRR22134161_1_paired	(1, 31.260703514093976)	(2, 31.579385520720486)	(3, 35.07876256193483)	(4, 36.17707850169427)	(5, 36.457860200285204)	(6, 39.479699306884015)	(7, 39.32711609617548)	(8, 39.773177915800645)	(9, 39.92597540132909)	(10, 40.212477335814455)	(12, 39.637005026146234)	(14, 39.36184250336769)	(16, 39.285667935586595)	(18, 38.549720547471836)	(20, 38.02434659249451)	(22, 37.77846594258898)	(24, 37.71154838683539)	(26, 37.612631641130776)	(28, 37.55380598215566)	(30, 37.653758618206446)	(32, 37.55402303424908)	(34, 37.4468560218282)	(36, 37.553589254316066)	(38, 37.463362032369346)	(40, 37.56651491405952)	(42, 37.683302004966215)	(44, 37.88348532466204)	(46, 38.11684043181897)	(48, 38.32866871392389)	(50, 38.70486205336995)	(52, 38.87517988279352)	(54, 38.92804661081779)	(56, 39.06495911410925)	(58, 39.114626944856006)	(60, 39.22160425618219)	(62, 39.24292506197277)	(64, 39.281162927030124)	(66, 39.36563353790413)	(68, 39.387410890852934)	(70, 39.41519464973769)	(72, 39.38769385357526)	(74, 39.45466427406869)	(76, 39.085107147818285)
SRR22134161_2	(1, 30.164975592132173)	(2, 30.036992817795422)	(3, 32.865951165280286)	(4, 33.93922044915698)	(5, 33.9425770092924)	(6, 36.592279359964216)	(7, 37.021285938831575)	(8, 36.861326232503146)	(9, 37.20626290137572)	(10, 37.12052805948181)	(12, 37.20842251640268)	(14, 37.142605633698366)	(16, 37.19009921842023)	(18, 37.2525332302657)	(20, 37.13509915761191)	(22, 37.288125617538185)	(24, 37.54503612755984)	(26, 37.601035432268574)	(28, 37.50627524101601)	(30, 37.40277158406276)	(32, 37.310460336806926)	(34, 37.2336758868894)	(36, 37.07210306921856)	(38, 36.93243969816528)	(40, 36.87878483612454)	(42, 36.76217790498418)	(44, 36.671676313437544)	(46, 36.5864026952622)	(48, 36.56634244459546)	(50, 36.53958494314718)	(52, 36.55164694153413)	(54, 36.48831430131681)	(56, 36.460930503798444)	(58, 36.41599929284369)	(60, 36.38687628828366)	(62, 36.326455447224454)	(64, 36.29282929648833)	(66, 36.20660692176258)	(68, 36.16786763004981)	(70, 36.08128392502965)	(72, 35.983567901289156)	(74, 36.04961999404658)	(76, 35.99659685213424)
SRR22134161_2_paired	(1, 30.94699864299149)	(2, 30.733692013306342)	(3, 33.68763083408777)	(4, 34.87345996916377)	(5, 34.909986605046484)	(6, 37.62112317123074)	(7, 37.97824845920133)	(8, 38.03739889580833)	(9, 38.55385348986962)	(10, 38.35253435683377)	(12, 38.38200439815568)	(14, 38.396067531006466)	(16, 38.39759865823055)	(18, 38.64864510221608)	(20, 38.51074327811591)	(22, 38.45003462769962)	(24, 38.527719607511784)	(26, 38.52797269881325)	(28, 38.42019684269091)	(30, 38.315984653244)	(32, 38.20950186299507)	(34, 38.12040375936971)	(36, 37.95896379412315)	(38, 37.851804881817905)	(40, 37.829984430457586)	(42, 37.74498354364755)	(44, 37.69586573394241)	(46, 37.646558682443754)	(48, 37.66766585610528)	(50, 37.70015455612176)	(52, 37.76879814320604)	(54, 37.76766721491815)	(56, 37.80524535885759)	(58, 37.827984361157924)	(60, 37.86641385968512)	(62, 37.879811849690796)	(64, 37.92222388509609)	(66, 37.90664279173531)	(68, 37.94582670621827)	(70, 37.924686989347734)	(72, 37.89497218467739)	(74, 38.21123451055915)	(76, 38.9312593589773)
SRR22134162_1	(1, 31.250488229130116)	(2, 31.64771485358154)	(3, 35.08403891952522)	(4, 36.09308445990974)	(5, 36.391828553167706)	(6, 39.448922326872875)	(7, 39.14955385752735)	(8, 39.72107327405758)	(9, 39.86333375947517)	(10, 40.16877899485094)	(12, 39.528327901879564)	(14, 39.132811016978)	(16, 39.15379782215972)	(18, 38.46447085754491)	(20, 37.82111820852941)	(22, 37.52833532020932)	(24, 37.52084124106679)	(26, 37.385794627991785)	(28, 37.33680224735827)	(30, 37.376709708640156)	(32, 37.33211103986767)	(34, 37.30011168295444)	(36, 37.34630018221891)	(38, 37.25560502207736)	(40, 37.339345230191185)	(42, 37.44684515332905)	(44, 37.59406431823777)	(46, 37.704814211640496)	(48, 37.82693694032308)	(50, 38.06220335438738)	(52, 38.16666316356651)	(54, 38.15222344652138)	(56, 38.25917773089943)	(58, 38.30336144715458)	(60, 38.372705706368826)	(62, 38.37908932902394)	(64, 38.418421278954426)	(66, 38.47559794936902)	(68, 38.48800013635195)	(70, 38.469846935531876)	(72, 38.42202370292268)	(74, 38.35906553356905)	(76, 37.18874412722497)
SRR22134162_1_paired	(1, 31.32043260210171)	(2, 31.69217799117318)	(3, 35.18829153468483)	(4, 36.188906194045416)	(5, 36.46370873560972)	(6, 39.54454382203481)	(7, 39.24456658670526)	(8, 39.816797392267446)	(9, 39.97563817865489)	(10, 40.26609846915436)	(12, 39.64370495431443)	(14, 39.25983232898754)	(16, 39.26845347011404)	(18, 38.592002016867596)	(20, 37.936945376325724)	(22, 37.6348624200281)	(24, 37.63016974241627)	(26, 37.53490012691381)	(28, 37.50311512705059)	(30, 37.55527004330679)	(32, 37.52492899354126)	(34, 37.512355855242504)	(36, 37.58763846725846)	(38, 37.53433660333802)	(40, 37.657868795376785)	(42, 37.80837257173184)	(44, 38.004024489908836)	(46, 38.192623787404315)	(48, 38.42366170745197)	(50, 38.76583073061683)	(52, 38.94775430295182)	(54, 38.98829298900195)	(56, 39.127221086600194)	(58, 39.19076657478479)	(60, 39.28011226689778)	(62, 39.30981891069814)	(64, 39.369788175825356)	(66, 39.443600477183125)	(68, 39.48745717055303)	(70, 39.509269425854455)	(72, 39.500526111123975)	(74, 39.56491836918556)	(76, 39.112989671504415)
