Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR22134160_1	(16.0, 1.0)	(17.0, 4.0)	(18.0, 20.0)	(19.0, 64.0)	(20.0, 232.0)	(21.0, 733.0)	(22.0, 1963.0)	(23.0, 4669.0)	(24.0, 10630.0)	(25.0, 21977.0)	(26.0, 40539.0)	(27.0, 61270.0)	(28.0, 81702.0)	(29.0, 110409.0)	(30.0, 155995.0)	(31.0, 206671.0)	(32.0, 249833.0)	(33.0, 301568.0)	(34.0, 376245.0)	(35.0, 486556.0)	(36.0, 676543.0)	(37.0, 1079125.0)	(38.0, 2282670.0)	(39.0, 8161212.0)	(40.0, 13660210.0)														
SRR22134160_1_paired	(21.0, 2.0)	(22.0, 14.0)	(23.0, 66.0)	(24.0, 278.0)	(25.0, 881.0)	(26.0, 2133.0)	(27.0, 5154.0)	(28.0, 11220.0)	(29.0, 22388.0)	(30.0, 40014.0)	(31.0, 66560.0)	(32.0, 105784.0)	(33.0, 161334.0)	(34.0, 243926.0)	(35.0, 370467.0)	(36.0, 583101.0)	(37.0, 1013354.0)	(38.0, 2243749.0)	(39.0, 8082698.0)	(40.0, 13435038.0)																			
SRR22134160_2	(11.0, 1.0)	(12.0, 29.0)	(13.0, 621.0)	(14.0, 3605.0)	(15.0, 11294.0)	(16.0, 23288.0)	(17.0, 38391.0)	(18.0, 51534.0)	(19.0, 64102.0)	(20.0, 75103.0)	(21.0, 84945.0)	(22.0, 97613.0)	(23.0, 112255.0)	(24.0, 131172.0)	(25.0, 155086.0)	(26.0, 182667.0)	(27.0, 213957.0)	(28.0, 248054.0)	(29.0, 288550.0)	(30.0, 337677.0)	(31.0, 405636.0)	(32.0, 498139.0)	(33.0, 627237.0)	(34.0, 799046.0)	(35.0, 1039753.0)	(36.0, 1441629.0)	(37.0, 2228913.0)	(38.0, 4051618.0)	(39.0, 8781819.0)	(40.0, 5977107.0)									
SRR22134160_2_paired	(18.0, 12.0)	(19.0, 97.0)	(20.0, 533.0)	(21.0, 1817.0)	(22.0, 4999.0)	(23.0, 11639.0)	(24.0, 22317.0)	(25.0, 38362.0)	(26.0, 61241.0)	(27.0, 91673.0)	(28.0, 130091.0)	(29.0, 178320.0)	(30.0, 237119.0)	(31.0, 313077.0)	(32.0, 412522.0)	(33.0, 549611.0)	(34.0, 741070.0)	(35.0, 1015388.0)	(36.0, 1442996.0)	(37.0, 2248397.0)	(38.0, 4079052.0)	(39.0, 8809131.0)	(40.0, 5998697.0)																
SRR22134161_1	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 24.0)	(18.0, 116.0)	(19.0, 399.0)	(20.0, 845.0)	(21.0, 2134.0)	(22.0, 4915.0)	(23.0, 11141.0)	(24.0, 21944.0)	(25.0, 37420.0)	(26.0, 60361.0)	(27.0, 83789.0)	(28.0, 100105.0)	(29.0, 114836.0)	(30.0, 143569.0)	(31.0, 187671.0)	(32.0, 255205.0)	(33.0, 352117.0)	(34.0, 493355.0)	(35.0, 716744.0)	(36.0, 1110592.0)	(37.0, 1894585.0)	(38.0, 3598715.0)	(39.0, 5787228.0)	(40.0, 1878425.0)
SRR22134161_1_paired	(21.0, 5.0)	(22.0, 38.0)	(23.0, 158.0)	(24.0, 709.0)	(25.0, 2466.0)	(26.0, 6826.0)	(27.0, 15817.0)	(28.0, 30694.0)	(29.0, 52312.0)	(30.0, 82857.0)	(31.0, 123550.0)	(32.0, 182036.0)	(33.0, 266142.0)	(34.0, 394253.0)	(35.0, 606454.0)	(36.0, 988864.0)	(37.0, 1769882.0)	(38.0, 3478541.0)	(39.0, 5651305.0)	(40.0, 1649869.0)																			
SRR22134161_2	(11.0, 1.0)	(12.0, 392.0)	(13.0, 3641.0)	(14.0, 7600.0)	(15.0, 11571.0)	(16.0, 19205.0)	(17.0, 33752.0)	(18.0, 48876.0)	(19.0, 62771.0)	(20.0, 76171.0)	(21.0, 88769.0)	(22.0, 102274.0)	(23.0, 119351.0)	(24.0, 139323.0)	(25.0, 164922.0)	(26.0, 192852.0)	(27.0, 222822.0)	(28.0, 260335.0)	(29.0, 306308.0)	(30.0, 352078.0)	(31.0, 396380.0)	(32.0, 451609.0)	(33.0, 545147.0)	(34.0, 677166.0)	(35.0, 798810.0)	(36.0, 990081.0)	(37.0, 1367251.0)	(38.0, 2157429.0)	(39.0, 4135408.0)	(40.0, 3123950.0)									
SRR22134161_2_paired	(17.0, 1.0)	(18.0, 23.0)	(19.0, 107.0)	(20.0, 664.0)	(21.0, 2293.0)	(22.0, 6143.0)	(23.0, 13617.0)	(24.0, 25332.0)	(25.0, 43329.0)	(26.0, 68294.0)	(27.0, 99008.0)	(28.0, 138394.0)	(29.0, 186128.0)	(30.0, 243336.0)	(31.0, 312698.0)	(32.0, 393663.0)	(33.0, 489186.0)	(34.0, 608962.0)	(35.0, 775244.0)	(36.0, 1005924.0)	(37.0, 1386957.0)	(38.0, 2192219.0)	(39.0, 4173971.0)	(40.0, 3137285.0)															
SRR22134162_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 11.0)	(18.0, 39.0)	(19.0, 146.0)	(20.0, 539.0)	(21.0, 1686.0)	(22.0, 4149.0)	(23.0, 9029.0)	(24.0, 17871.0)	(25.0, 33595.0)	(26.0, 56804.0)	(27.0, 83087.0)	(28.0, 116966.0)	(29.0, 171198.0)	(30.0, 252386.0)	(31.0, 336390.0)	(32.0, 420385.0)	(33.0, 540046.0)	(34.0, 732127.0)	(35.0, 1056435.0)	(36.0, 1649247.0)	(37.0, 2866166.0)	(38.0, 5458069.0)	(39.0, 8382003.0)	(40.0, 2075843.0)											
SRR22134162_1_paired	(21.0, 1.0)	(22.0, 14.0)	(23.0, 72.0)	(24.0, 318.0)	(25.0, 1197.0)	(26.0, 3593.0)	(27.0, 9705.0)	(28.0, 21748.0)	(29.0, 44525.0)	(30.0, 80747.0)	(31.0, 136716.0)	(32.0, 222833.0)	(33.0, 353527.0)	(34.0, 559785.0)	(35.0, 903457.0)	(36.0, 1523480.0)	(37.0, 2778356.0)	(38.0, 5425758.0)	(39.0, 8437915.0)	(40.0, 2123420.0)																			
SRR22134162_2	(12.0, 169.0)	(13.0, 1743.0)	(14.0, 4253.0)	(15.0, 8637.0)	(16.0, 20752.0)	(17.0, 40382.0)	(18.0, 59169.0)	(19.0, 76789.0)	(20.0, 92412.0)	(21.0, 107707.0)	(22.0, 123530.0)	(23.0, 142956.0)	(24.0, 164250.0)	(25.0, 189239.0)	(26.0, 219823.0)	(27.0, 255922.0)	(28.0, 296533.0)	(29.0, 345970.0)	(30.0, 404127.0)	(31.0, 475787.0)	(32.0, 568980.0)	(33.0, 694468.0)	(34.0, 861260.0)	(35.0, 1104267.0)	(36.0, 1466447.0)	(37.0, 2087078.0)	(38.0, 3343685.0)	(39.0, 6369568.0)	(40.0, 4738319.0)										
SRR22134162_2_paired	(17.0, 2.0)	(18.0, 20.0)	(19.0, 161.0)	(20.0, 695.0)	(21.0, 2532.0)	(22.0, 6854.0)	(23.0, 15280.0)	(24.0, 30131.0)	(25.0, 52510.0)	(26.0, 82846.0)	(27.0, 123738.0)	(28.0, 174885.0)	(29.0, 237282.0)	(30.0, 312252.0)	(31.0, 401461.0)	(32.0, 512017.0)	(33.0, 653171.0)	(34.0, 835503.0)	(35.0, 1091986.0)	(36.0, 1470107.0)	(37.0, 2106587.0)	(38.0, 3369053.0)	(39.0, 6395049.0)	(40.0, 4753045.0)															
SRR22134163_1	(15.0, 2.0)	(16.0, 3.0)	(17.0, 10.0)	(18.0, 56.0)	(19.0, 231.0)	(20.0, 733.0)	(21.0, 1893.0)	(22.0, 4586.0)	(23.0, 9748.0)	(24.0, 18131.0)	(25.0, 31828.0)	(26.0, 51641.0)	(27.0, 74918.0)	(28.0, 106595.0)	(29.0, 153650.0)	(30.0, 221094.0)	(31.0, 299313.0)	(32.0, 389261.0)	(33.0, 516651.0)	(34.0, 714772.0)	(35.0, 1035480.0)	(36.0, 1610536.0)	(37.0, 2760529.0)	(38.0, 5157470.0)	(39.0, 7757706.0)	(40.0, 1930058.0)													
