Sample	Unique Reads	Duplicate Reads
SRR22134160_1	11876189.0	16094652.0
SRR22134160_1_paired	11394097.0	14994064.0
SRR22134160_2	13540538.0	14430303.0
SRR22134160_2_paired	12328999.0	14059162.0
SRR22134161_1	8951387.0	7904858.0
SRR22134161_1_paired	8393640.0	6909138.0
SRR22134161_2	9723894.0	7132351.0
SRR22134161_2_paired	8704020.0	6598758.0
SRR22134162_1	14945689.0	9318533.0
SRR22134162_1_paired	14097719.0	8529448.0
SRR22134162_2	16091448.0	8172774.0
SRR22134162_2_paired	14722415.0	7904752.0
SRR22134163_1	11583131.0	11263764.0
SRR22134163_1_paired	10990624.0	10452248.0
SRR22134163_2	12518837.0	10328058.0
SRR22134163_2_paired	11422258.0	10020614.0
SRR22134164_1	14657420.0	9858827.0
SRR22134164_1_paired	13757337.0	8938432.0
SRR22134164_2	16332338.0	8183909.0
SRR22134164_2_paired	14763825.0	7931944.0
SRR22134165_1	13525022.0	9647083.0
SRR22134165_1_paired	12829293.0	8916037.0
SRR22134165_2	14688993.0	8483112.0
SRR22134165_2_paired	13508774.0	8236556.0
SRR22134166_1	15580464.0	15206517.0
SRR22134166_1_paired	14559666.0	14019811.0
SRR22134166_2	17406501.0	13380480.0
SRR22134166_2_paired	15607569.0	12971908.0
SRR22134167_1	15813048.0	13782755.0
SRR22134167_1_paired	14606163.0	12387597.0
SRR22134167_2	17989702.0	11606101.0
SRR22134167_2_paired	15795947.0	11197813.0
SRR22134168_1	14426569.0	13445011.0
SRR22134168_1_paired	13536784.0	12312093.0
SRR22134168_2	16084815.0	11786765.0
SRR22134168_2_paired	14417411.0	11431466.0
SRR22134169_1	9830291.0	18152462.0
SRR22134169_1_paired	9354229.0	17090637.0
SRR22134169_2	11353288.0	16629465.0
SRR22134169_2_paired	10254353.0	16190513.0
SRR22134170_1	16124168.0	18885573.0
SRR22134170_1_paired	15277837.0	17492926.0
SRR22134170_2	18323936.0	16685805.0
SRR22134170_2_paired	16592697.0	16178066.0
SRR22134171_1	11942895.0	18398921.0
SRR22134171_1_paired	11463199.0	16990224.0
SRR22134171_2	14081477.0	16260339.0
SRR22134171_2_paired	12637044.0	15816379.0
SRR22134172_1	13649403.0	11732735.0
SRR22134172_1_paired	13057111.0	10910060.0
SRR22134172_2	14965356.0	10416782.0
SRR22134172_2_paired	13814790.0	10152381.0
