Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22134160_1	(1.0, 29.38455994068912)	(2.0, 15.80045326211852)	(3.0, 7.79749401247658)	(4.0, 4.019414104780399)	(5.0, 2.3668843431537674)	(6.0, 1.5301568908818741)	(7.0, 1.0693879129491566)	(8.0, 0.8578962131997383)	(9.0, 0.6690395450704943)	('>10', 7.699156866630051)	('>50', 2.7956135395131416)	('>100', 8.292492782831065)	('>500', 4.353472470855672)	('>1k', 7.694811021538313)	('>5k', 1.7702576386713513)	('>10k+', 3.8989094546408096)
SRR22134160_1_paired	(1.0, 29.843416123511524)	(2.0, 16.246438659682468)	(3.0, 7.902766503398937)	(4.0, 4.027595650133231)	(5.0, 2.330362430555002)	(6.0, 1.525993702643876)	(7.0, 1.088270746131651)	(8.0, 0.8391125520466509)	(9.0, 0.6632090907495222)	('>10', 7.8498547769840625)	('>50', 2.850968446536659)	('>100', 8.508711344397437)	('>500', 4.416019966643577)	('>1k', 8.209668511533675)	('>5k', 1.5779962018635332)	('>10k+', 2.119615293188313)
SRR22134160_2	(1.0, 35.52438056949202)	(2.0, 15.750103751516933)	(3.0, 7.584681549410891)	(4.0, 3.8366240349533474)	(5.0, 2.248279799344303)	(6.0, 1.4461345657490894)	(7.0, 1.042711677576845)	(8.0, 0.8482006301676251)	(9.0, 0.6362863597218531)	('>10', 7.781306318321354)	('>50', 2.756013684108)	('>100', 7.84431820696213)	('>500', 3.993047867466928)	('>1k', 7.1083668994061515)	('>5k', 1.3262754602073086)	('>10k+', 0.27326862559530535)
SRR22134160_2_paired	(1.0, 33.43280821600605)	(2.0, 16.289392999585797)	(3.0, 7.797867580573474)	(4.0, 3.934827134116185)	(5.0, 2.3185413042423395)	(6.0, 1.481905928143911)	(7.0, 1.0594887915580804)	(8.0, 0.8481057488980438)	(9.0, 0.6684188202870983)	('>10', 7.985382439558484)	('>50', 2.8341163223147094)	('>100', 8.21554518908026)	('>500', 4.119142736860831)	('>1k', 7.3961056855533)	('>5k', 1.3456504690921742)	('>10k+', 0.2727006341293518)
SRR22134161_1	(1.0, 32.53745703132817)	(2.0, 23.847122506743187)	(3.0, 15.023887566476823)	(4.0, 8.093710481366909)	(5.0, 3.9604758816816057)	(6.0, 1.9023684804979242)	(7.0, 1.0646291704472521)	(8.0, 0.5995322033716302)	(9.0, 0.422133192132092)	('>10', 3.6755811664332594)	('>50', 0.8805519790991183)	('>100', 1.1145582617376508)	('>500', 0.33820910906048907)	('>1k', 0.6171556681127505)	('>5k', 0.22235847695141384)	('>10k+', 5.700268824559793)
SRR22134161_1_paired	(1.0, 33.53385698842579)	(2.0, 25.167012789183275)	(3.0, 15.41287388425088)	(4.0, 8.034923314604923)	(5.0, 3.837998352631404)	(6.0, 1.8547939724942355)	(7.0, 1.0727010352479571)	(8.0, 0.5814199762682879)	(9.0, 0.4259758032367733)	('>10', 3.813314904202948)	('>50', 0.9290465719251162)	('>100', 1.1300024739217756)	('>500', 0.35220460524179226)	('>1k', 0.6890989754317239)	('>5k', 0.16937584033803857)	('>10k+', 2.9954005125949874)
SRR22134161_2	(1.0, 38.321396249642184)	(2.0, 23.027153929843042)	(3.0, 13.892362956758628)	(4.0, 7.178245557779136)	(5.0, 3.3440086041873403)	(6.0, 1.667478374662308)	(7.0, 0.9089550645450452)	(8.0, 0.5662363962137655)	(9.0, 0.44346522529116766)	('>10', 3.7146963738611283)	('>50', 0.9306983280760078)	('>100', 1.3287631350168658)	('>500', 0.3871817415760337)	('>1k', 1.208677117810379)	('>5k', 0.22932891166992783)	('>10k+', 2.851352033067107)
SRR22134161_2_paired	(1.0, 36.186219499388656)	(2.0, 24.80255077130518)	(3.0, 14.81791162614828)	(4.0, 7.583458066145796)	(5.0, 3.4538313810225243)	(6.0, 1.69454328334543)	(7.0, 0.9680727212046514)	(8.0, 0.5689359735317635)	(9.0, 0.4255564117431435)	('>10', 3.641455279252609)	('>50', 0.8408496969549669)	('>100', 1.0389453029132734)	('>500', 0.3529504243255681)	('>1k', 0.9477717324638572)	('>5k', 0.4412892695356872)	('>10k+', 2.2356585607185377)
SRR22134162_1	(1.0, 50.87178021391762)	(2.0, 14.685178958474069)	(3.0, 5.032941783113588)	(4.0, 2.347402460232348)	(5.0, 1.4172363955291674)	(6.0, 0.9822187753138919)	(7.0, 0.7959749462923456)	(8.0, 0.6748637831772317)	(9.0, 0.5549761856078836)	('>10', 6.515441574233889)	('>50', 2.132967455874439)	('>100', 4.518719184260981)	('>500', 1.9032385654544084)	('>1k', 4.139750805170636)	('>5k', 0.5284194016903802)	('>10k+', 2.898889511657301)
SRR22134162_1_paired	(1.0, 51.515190968414345)	(2.0, 14.8551976442051)	(3.0, 4.979517847432795)	(4.0, 2.312845542676961)	(5.0, 1.441441242172464)	(6.0, 0.9767468412239145)	(7.0, 0.7908687573916986)	(8.0, 0.6779339619312666)	(9.0, 0.5461172288987103)	('>10', 6.5918575796076615)	('>50', 2.121171257414994)	('>100', 4.555306037289825)	('>500', 1.9643320443542673)	('>1k', 4.336570569249494)	('>5k', 0.6253318779702378)	('>10k+', 1.7095705997661588)
SRR22134162_2	(1.0, 55.891528046637205)	(2.0, 14.256878182070023)	(3.0, 4.884787667970373)	(4.0, 2.332746831328533)	(5.0, 1.3806250520892824)	(6.0, 0.97009002071542)	(7.0, 0.7748643723208467)	(8.0, 0.7003151016241671)	(9.0, 0.4865386182913974)	('>10', 6.299505452692982)	('>50', 1.9906900871816031)	('>100', 4.1864102702524235)	('>500', 1.6959590052327265)	('>1k', 3.770123127158867)	('>5k', 0.3789381644340548)	('>10k+', 0.0)
SRR22134162_2_paired	(1.0, 54.26461087736578)	(2.0, 14.838830713901496)	(3.0, 4.971372313493641)	(4.0, 2.376669613588894)	(5.0, 1.4526864707352458)	(6.0, 1.004201849935235)	(7.0, 0.8138009464871303)	(8.0, 0.694728444005695)	(9.0, 0.5336425505595712)	('>10', 6.537089612009011)	('>50', 2.042727431498599)	('>100', 4.401543649651192)	('>500', 1.8080682427844985)	('>1k', 3.886358844087432)	('>5k', 0.37366843989634135)	('>10k+', 0.0)
SRR22134163_1	(1.0, 35.493608480942854)	(2.0, 18.06050298692903)	(3.0, 9.149414188165425)	(4.0, 5.065492119191603)	(5.0, 3.0603217006643053)	(6.0, 2.014601043998728)	(7.0, 1.3914027117586596)	(8.0, 1.070024774929224)	(9.0, 0.8295598347051368)	('>10', 7.499631304190412)	('>50', 2.334279861403333)	('>100', 5.046468941047869)	('>500', 2.011996413025307)	('>1k', 4.007576387293275)	('>5k', 0.6289353767532859)	('>10k+', 2.3361838750016655)
SRR22134163_1_paired	(1.0, 35.907051776988844)	(2.0, 18.39036139515842)	(3.0, 9.197669021254558)	(4.0, 4.972016188897813)	(5.0, 3.0301154910057844)	(6.0, 2.0008736659085424)	(7.0, 1.3812047118525133)	(8.0, 1.0123280698128738)	(9.0, 0.8250620667347804)	('>10', 7.5476763855382325)	('>50', 2.3389210157576086)	('>100', 5.077557463996872)	('>500', 2.043676691064085)	('>1k', 4.225999432885109)	('>5k', 0.7769261862133624)	('>10k+', 1.2725604369305616)
SRR22134163_2	(1.0, 39.83004321990191)	(2.0, 17.92034664398756)	(3.0, 9.113891355325539)	(4.0, 4.840909203008008)	(5.0, 2.906509009541919)	(6.0, 1.8539302241530657)	(7.0, 1.3161262374429974)	(8.0, 1.0194860575151174)	(9.0, 0.7560018095262746)	('>10', 7.202551370645542)	('>50', 2.2938696056104377)	('>100', 4.730354629453256)	('>500', 1.8026679253542917)	('>1k', 3.6677076956246344)	('>5k', 0.612367264492125)	('>10k+', 0.13323774841752478)
