Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
SRR22134160_1	(35, 1.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 2.0)	(63, 7.0)	(64, 18.0)	(65, 327.0)	(66, 532.0)	(67, 778.0)	(68, 592.0)	(69, 192.0)	(70, 2401.0)	(71, 18462.0)	(72, 66097.0)	(73, 601820.0)	(74, 1715143.0)	(75, 6078548.0)	(76, 19485921.0)
SRR22134160_1_paired	(36, 12817.0)	(37, 13569.0)	(38, 14293.0)	(39, 14867.0)	(40, 15326.0)	(41, 16635.0)	(42, 17456.0)	(43, 17916.0)	(44, 19171.0)	(45, 21795.0)	(46, 24618.0)	(47, 27524.0)	(48, 28893.0)	(49, 29101.0)	(50, 28056.0)	(51, 27729.0)	(52, 26456.0)	(53, 25284.0)	(54, 22297.0)	(55, 19479.0)	(56, 17699.0)	(57, 16041.0)	(58, 14745.0)	(59, 13817.0)	(60, 12622.0)	(61, 12027.0)	(62, 11787.0)	(63, 11310.0)	(64, 10879.0)	(65, 11223.0)	(66, 11461.0)	(67, 11823.0)	(68, 11702.0)	(69, 11740.0)	(70, 13262.0)	(71, 28652.0)	(72, 73984.0)	(73, 594858.0)	(74, 1672382.0)	(75, 5894728.0)	(76, 17508137.0)	
SRR22134160_2	(57, 1.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 8.0)	(64, 28.0)	(65, 267.0)	(66, 707.0)	(67, 941.0)	(68, 1058.0)	(69, 228.0)	(70, 2912.0)	(71, 21697.0)	(72, 79422.0)	(73, 360708.0)	(74, 1247613.0)	(75, 6638323.0)	(76, 19616928.0)																						
SRR22134160_2_paired	(36, 18983.0)	(37, 20173.0)	(38, 19538.0)	(39, 20317.0)	(40, 21208.0)	(41, 21244.0)	(42, 21724.0)	(43, 22604.0)	(44, 24992.0)	(45, 24542.0)	(46, 25805.0)	(47, 26759.0)	(48, 26698.0)	(49, 26847.0)	(50, 26251.0)	(51, 26668.0)	(52, 26829.0)	(53, 26100.0)	(54, 26447.0)	(55, 24854.0)	(56, 24792.0)	(57, 25405.0)	(58, 23709.0)	(59, 23803.0)	(60, 23311.0)	(61, 23391.0)	(62, 22880.0)	(63, 22701.0)	(64, 23096.0)	(65, 22235.0)	(66, 23280.0)	(67, 22916.0)	(68, 23511.0)	(69, 22649.0)	(70, 24474.0)	(71, 43950.0)	(72, 103635.0)	(73, 380923.0)	(74, 1255468.0)	(75, 6065498.0)	(76, 17707951.0)	
SRR22134161_1	(35, 7.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 1.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 5.0)	(64, 28.0)	(65, 140.0)	(66, 304.0)	(67, 225.0)	(68, 32.0)	(69, 96.0)	(70, 1529.0)	(71, 40030.0)	(72, 80074.0)	(73, 450337.0)	(74, 1087779.0)	(75, 3934048.0)	(76, 11261610.0)
SRR22134161_1_paired	(36, 10568.0)	(37, 11980.0)	(38, 12361.0)	(39, 13322.0)	(40, 13540.0)	(41, 14354.0)	(42, 13757.0)	(43, 14710.0)	(44, 13686.0)	(45, 15547.0)	(46, 13849.0)	(47, 15441.0)	(48, 13302.0)	(49, 16301.0)	(50, 12868.0)	(51, 16580.0)	(52, 12717.0)	(53, 16326.0)	(54, 12283.0)	(55, 16298.0)	(56, 12163.0)	(57, 16132.0)	(58, 11746.0)	(59, 15151.0)	(60, 11555.0)	(61, 14543.0)	(62, 11928.0)	(63, 14386.0)	(64, 12203.0)	(65, 13900.0)	(66, 11668.0)	(67, 12792.0)	(68, 10990.0)	(69, 11763.0)	(70, 12112.0)	(71, 50161.0)	(72, 88720.0)	(73, 434663.0)	(74, 1050285.0)	(75, 3775697.0)	(76, 9430430.0)	
SRR22134161_2	(63, 5.0)	(64, 26.0)	(65, 94.0)	(66, 323.0)	(67, 218.0)	(68, 27.0)	(69, 139.0)	(70, 1582.0)	(71, 12826.0)	(72, 52256.0)	(73, 364470.0)	(74, 941281.0)	(75, 4616588.0)	(76, 10866410.0)																												
SRR22134161_2_paired	(36, 22923.0)	(37, 24562.0)	(38, 23852.0)	(39, 24159.0)	(40, 23157.0)	(41, 25230.0)	(42, 23126.0)	(43, 26863.0)	(44, 24529.0)	(45, 28190.0)	(46, 24527.0)	(47, 28445.0)	(48, 24824.0)	(49, 29858.0)	(50, 25423.0)	(51, 29516.0)	(52, 25285.0)	(53, 30555.0)	(54, 25071.0)	(55, 30036.0)	(56, 25263.0)	(57, 31023.0)	(58, 25388.0)	(59, 29938.0)	(60, 25697.0)	(61, 30928.0)	(62, 26635.0)	(63, 30625.0)	(64, 27346.0)	(65, 31064.0)	(66, 27062.0)	(67, 30324.0)	(68, 27572.0)	(69, 29735.0)	(70, 28523.0)	(71, 42238.0)	(72, 82286.0)	(73, 380922.0)	(74, 959448.0)	(75, 3819126.0)	(76, 9071504.0)	
SRR22134162_1	(61, 3.0)	(62, 0.0)	(63, 6.0)	(64, 38.0)	(65, 169.0)	(66, 439.0)	(67, 259.0)	(68, 25.0)	(69, 184.0)	(70, 1900.0)	(71, 46490.0)	(72, 111970.0)	(73, 541639.0)	(74, 1618758.0)	(75, 5745144.0)	(76, 16197198.0)																										
SRR22134162_1_paired	(36, 15290.0)	(37, 16133.0)	(38, 16121.0)	(39, 17224.0)	(40, 18028.0)	(41, 19101.0)	(42, 20073.0)	(43, 21201.0)	(44, 23672.0)	(45, 27715.0)	(46, 33338.0)	(47, 37377.0)	(48, 39325.0)	(49, 39787.0)	(50, 37904.0)	(51, 36275.0)	(52, 33990.0)	(53, 30659.0)	(54, 26937.0)	(55, 23998.0)	(56, 21710.0)	(57, 19756.0)	(58, 17842.0)	(59, 16922.0)	(60, 15845.0)	(61, 14991.0)	(62, 13856.0)	(63, 13102.0)	(64, 12923.0)	(65, 12597.0)	(66, 12495.0)	(67, 12218.0)	(68, 12137.0)	(69, 11883.0)	(70, 13542.0)	(71, 56705.0)	(72, 119483.0)	(73, 534448.0)	(74, 1568878.0)	(75, 5557890.0)	(76, 14033796.0)	
SRR22134162_2	(63, 6.0)	(64, 36.0)	(65, 168.0)	(66, 492.0)	(67, 296.0)	(68, 38.0)	(69, 213.0)	(70, 2520.0)	(71, 20077.0)	(72, 82962.0)	(73, 399754.0)	(74, 1538450.0)	(75, 5956940.0)	(76, 16262270.0)																												
