Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR22134160_1	SRR22134160_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27970841.0	2.1 Gbp	0.0	35-76	46.0	42.45917685679377	75.58142935351854	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
SRR22134160_1_paired	SRR22134160_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26388161.0	1.9 Gbp	0.0	36-76	47.0	43.17882113796385	74.99726919204412	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	fail
SRR22134160_2	SRR22134160_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27970841.0	2.1 Gbp	0.0	57-76	47.0	48.409477043379574	75.6178765951299	76	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	fail
SRR22134160_2_paired	SRR22134160_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26388161.0	1.9 Gbp	0.0	36-76	48.0	46.721704205965885	74.89082467702089	76	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	fail
SRR22134161_1	SRR22134161_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16856245.0	1.2 Gbp	0.0	35-76	43.0	53.10427359590088	75.52548809061567	76	pass	pass	warn	pass	fail	fail	pass	warn	warn	fail	fail
SRR22134161_1_paired	SRR22134161_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15302778.0	1.1 Gbp	0.0	36-76	44.0	54.850429904301365	74.77346485716515	76	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	fail
SRR22134161_2	SRR22134161_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16856245.0	1.2 Gbp	0.0	63-76	43.0	57.68718646287372	75.53233961656348	76	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	fail
SRR22134161_2_paired	SRR22134161_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15302778.0	1.1 Gbp	0.0	36-76	44.0	56.878686253821776	74.12993163724913	76	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	fail
SRR22134162_1	SRR22134162_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24264222.0	1.8 Gbp	0.0	61-76	43.0	61.59558162089209	75.53388350963819	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	fail	fail
SRR22134162_1_paired	SRR22134162_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22627167.0	1.6 Gbp	0.0	36-76	44.0	62.30439249352669	74.68795284889178	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	fail
SRR22134162_2	SRR22134162_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24264222.0	1.8 Gbp	0.0	63-76	45.0	66.31758966422413	75.55934329977693	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	fail
SRR22134162_2_paired	SRR22134162_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22627167.0	1.6 Gbp	0.0	36-76	45.0	65.06521451485519	74.69253172524868	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	fail
SRR22134163_1	SRR22134163_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22846895.0	1.7 Gbp	0.0	35-76	45.0	50.698924650700924	75.53209085961134	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	fail
SRR22134163_1_paired	SRR22134163_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21442872.0	1.6 Gbp	0.0	36-76	46.0	51.25536937399655	74.81450553825066	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	fail
SRR22134163_2	SRR22134163_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22846895.0	1.7 Gbp	0.0	41-76	46.0	54.79447836986952	75.59137777803068	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	fail
SRR22134163_2_paired	SRR22134163_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21442872.0	1.6 Gbp	0.0	36-76	46.0	53.2683203635927	74.7633924690685	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	fail
SRR22134164_1	SRR22134164_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24516247.0	1.8 Gbp	0.0	63-76	45.0	59.78655594140275	75.54340062734724	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	fail	fail
SRR22134164_1_paired	SRR22134164_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22695769.0	1.6 Gbp	0.0	36-76	46.0	60.61630684344917	74.67440874111823	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	fail
SRR22134164_2	SRR22134164_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24516247.0	1.8 Gbp	0.0	63-76	46.0	66.61842472697211	75.5804270531293	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	fail
SRR22134164_2_paired	SRR22134164_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22695769.0	1.6 Gbp	0.0	36-76	46.0	65.05099997965326	74.51380563487406	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	fail
SRR22134165_1	SRR22134165_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23172105.0	1.7 Gbp	0.0	62-76	46.0	58.367687766611986	75.53952780724927	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	fail
SRR22134165_1_paired	SRR22134165_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21745330.0	1.6 Gbp	0.0	36-76	46.0	58.99792127294632	74.89769076854662	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	fail
SRR22134165_2	SRR22134165_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23172105.0	1.7 Gbp	0.0	63-76	47.0	63.39084047182939	75.57452199530427	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	fail
SRR22134165_2_paired	SRR22134165_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21745330.0	1.6 Gbp	0.0	36-76	47.0	62.122641152916295	74.7161422245604	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	fail
SRR22134166_1	SRR22134166_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30786981.0	2.3 Gbp	0.0	63-76	48.0	50.607311309070646	75.54059474035469	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	fail
SRR22134166_1_paired	SRR22134166_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28579477.0	2.1 Gbp	0.0	36-76	48.0	50.94447896770619	75.10081157188426	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	fail
