Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR22134160	33.3114068534318	9.317449	IU	100.0	0.5001950871490197						
SRR22134160_1						57.54082314320623	46.0	75.58142935351854	76	36.36363636363637	27.970841
SRR22134160_1_paired						56.82117886203615	47.0	74.99726919204412	76	27.27272727272727	26.388161
SRR22134160_2						51.590522956620426	47.0	75.6178765951299	76	27.27272727272727	27.970841
SRR22134160_2_paired						53.278295794034115	48.0	74.89082467702089	76	27.27272727272727	26.388161
SRR22134161	15.39721033881577	2.5951589999999998	IU	100.0	0.48488053770976236						
SRR22134161_1						46.89572640409912	43.0	75.52548809061567	76	36.36363636363637	16.856244999999998
SRR22134161_1_paired						45.149570095698635	44.0	74.77346485716515	76	27.27272727272727	15.302778
SRR22134161_2						42.31281353712628	43.0	75.53233961656348	76	27.27272727272727	16.856244999999998
SRR22134161_2_paired						43.121313746178224	44.0	74.12993163724913	76	27.27272727272727	15.302778
SRR22134162	33.94106143525598	8.234817999999999	IU	100.0	0.5021608160684911						
SRR22134162_1						38.40441837910791	43.0	75.53388350963819	76	27.27272727272727	24.264222
SRR22134162_1_paired						37.69560750647331	44.0	74.68795284889178	76	18.181818181818183	22.627167
SRR22134162_2						33.68241033577587	45.0	75.55934329977693	76	18.181818181818183	24.264222
SRR22134162_2_paired						34.934785485144815	45.0	74.69253172524868	76	18.181818181818183	22.627167
SRR22134163	36.54702311420389	8.349136	IU	100.0	0.5016727313837186						
SRR22134163_1						49.301075349299076	45.0	75.53209085961134	76	18.181818181818183	22.846895
SRR22134163_1_paired						48.74463062600345	46.0	74.81450553825066	76	18.181818181818183	21.442871999999998
SRR22134163_2						45.20552163013048	46.0	75.59137777803068	76	18.181818181818183	22.846895
SRR22134163_2_paired						46.7316796364073	46.0	74.7633924690685	76	18.181818181818183	21.442871999999998
SRR22134164	42.27795352477071	10.364056	IU	100.0	0.49941534227519596						
SRR22134164_1						40.21344405859725	45.0	75.54340062734724	76	27.27272727272727	24.516247
SRR22134164_1_paired						39.38369315655083	46.0	74.67440874111823	76	18.181818181818183	22.695769
SRR22134164_2						33.38157527302789	46.0	75.5804270531293	76	18.181818181818183	24.516247
SRR22134164_2_paired						34.949000020346745	46.0	74.51380563487406	76	18.181818181818183	22.695769
SRR22134165	46.69407150598333	10.819071	IU	100.0	0.5000173526717134						
SRR22134165_1						41.632312233388014	46.0	75.53952780724927	76	18.181818181818183	23.172105
SRR22134165_1_paired						41.00207872705368	46.0	74.89769076854662	76	18.181818181818183	21.74533
SRR22134165_2						36.60915952817061	47.0	75.57452199530427	76	18.181818181818183	23.172105
SRR22134165_2_paired						37.877358847083705	47.0	74.7161422245604	76	18.181818181818183	21.74533
SRR22134166	65.528516803459	20.172545	IU	100.0	0.5011330021093442						
SRR22134166_1						49.392688690929354	48.0	75.54059474035469	76	18.181818181818183	30.786980999999997
SRR22134166_1_paired						49.05552103229381	48.0	75.10081157188426	76	18.181818181818183	28.579476999999997
SRR22134166_2						43.46148923279438	48.0	75.58614847620167	76	18.181818181818183	30.786980999999997
SRR22134166_2_paired						45.388893239251495	48.0	74.55484181883385	76	18.181818181818183	28.579476999999997
SRR22134167	65.30026330230837	19.324541999999997	IU	100.0	0.5017979028849773						
SRR22134167_1						46.56996562613863	47.0	75.53663541414977	76	9.090909090909092	29.595803
SRR22134167_1_paired						45.890597128165844	48.0	75.16668667128995	76	9.090909090909092	26.993759999999998
SRR22134167_2						39.215363335332164	48.0	75.54930592692484	76	9.090909090909092	29.595803
SRR22134167_2_paired						41.482969409395295	48.0	74.29684912364932	76	9.090909090909092	26.993759999999998
SRR22134168	60.723990755662314	16.923271	IU	100.0	0.5015349269064474						
SRR22134168_1						48.23914221865338	46.0	75.53800886063868	76	18.181818181818183	27.871579999999998
SRR22134168_1_paired						47.6310587278398	47.0	75.01609203370808	76	18.181818181818183	25.848876999999998
SRR22134168_2						42.28954982904579	47.0	75.53684172192607	76	18.181818181818183	27.871579999999998
SRR22134168_2_paired						44.224229479355216	47.0	74.51864775402042	76	18.181818181818183	25.848876999999998
SRR22134169	50.847547755537704	14.228501999999999	IU	100.0	0.49948125115382924						
SRR22134169_1						64.87018103258782	46.0	75.5419413879685	76	27.27272727272727	27.982753
SRR22134169_1_paired						64.62743162906507	46.0	75.00216359576184	76	27.27272727272727	26.444865999999998
SRR22134169_2						59.427553036236866	47.0	75.56584661273321	76	27.27272727272727	27.982753
SRR22134169_2_paired						61.22365405315158	47.0	74.80702303426305	76	27.27272727272727	26.444865999999998
SRR22134170	64.46922897324264	22.570453999999998	IU	100.0	0.5010412755737129						
SRR22134170_1						53.943768442634685	49.0	75.52884007339557	76	27.27272727272727	35.009741
SRR22134170_1_paired						53.379675350702804	49.0	75.34280016611149	76	27.27272727272727	32.770762999999995
SRR22134170_2						47.66046596848861	49.0	75.573523494504	76	18.181818181818183	35.009741
SRR22134170_2_paired						49.36737928975181	49.0	74.67380655738775	76	18.181818181818183	32.770762999999995
SRR22134171	35.16241456981894	10.668887	IU	100.0	0.5002157297332935						
SRR22134171_1						60.63882834175938	45.0	75.54269846603776	76	36.36363636363637	30.341815999999998
SRR22134171_1_paired						59.71241056741436	46.0	74.86601974040171	76	27.27272727272727	28.453422999999997
SRR22134171_2						53.59052861802289	47.0	75.57025690222365	76	27.27272727272727	30.341815999999998
SRR22134171_2_paired						55.586911768640995	47.0	74.7825621191517	76	27.27272727272727	28.453422999999997
SRR22134172	45.4532972580059	11.53699	IU	100.0	0.5002811632450442						
SRR22134172_1						46.22437668042273	47.0	75.53857047030475	76	18.181818181818183	25.382137999999998
SRR22134172_1_paired						45.52085094398769	47.0	75.23023534984584	76	18.181818181818183	23.967171
SRR22134172_2						41.03981517555829	47.0	75.60092301917199	76	18.181818181818183	25.382137999999998
SRR22134172_2_paired						42.359534015442094	47.0	74.80247944156613	76	18.181818181818183	23.967171
