Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
SRR22134160	1.10.2	none	vb	[]	1	['IU']	1001	155.19999409445273	78.68075217974118	False	False	4096	mapping	False	193760	0	666365	False	['range_factorized', 'gzipped']	[564, 819, 1650, 3029, 109488]	258d84f121793e2bb1ec6c2fea975e710b7f7d7f489353b99e46f84e47c5f335	80b39417add14cedfda7fd02ddffe07a7cf880267a0e9eaef681228e06047f57	b5d7ab768fe1d0d4b48ae278bfeef339d31da6376b66cb8f7f6a6c3a5ff550c814128ee4562a2c31e18d86efc6e33d39a2107b1caeabf7d4c41a8c859fd006a7	f99cbe3ed1d857c61bf3c57e141d05d523311dbd8f87c03c044a280f9e6d2f4ef321080f830c7730878aeaa04a9855d12ecaed41911abaf15cee3483bde8e13e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	27970746	9317449	0	5773628	7579882	182291003	33.3114068534318	quant	Fri Jan 09 01:59:27 2026	Fri Jan 09 02:24:28 2026
SRR22134161	1.10.2	none	vb	[]	1	['IU']	1001	144.2583520007179	94.20795720324023	False	False	4096	mapping	False	193760	0	583553	False	['range_factorized', 'gzipped']	[564, 819, 1650, 3029, 109488]	258d84f121793e2bb1ec6c2fea975e710b7f7d7f489353b99e46f84e47c5f335	80b39417add14cedfda7fd02ddffe07a7cf880267a0e9eaef681228e06047f57	b5d7ab768fe1d0d4b48ae278bfeef339d31da6376b66cb8f7f6a6c3a5ff550c814128ee4562a2c31e18d86efc6e33d39a2107b1caeabf7d4c41a8c859fd006a7	f99cbe3ed1d857c61bf3c57e141d05d523311dbd8f87c03c044a280f9e6d2f4ef321080f830c7730878aeaa04a9855d12ecaed41911abaf15cee3483bde8e13e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	16854735	2595159	0	2194253	4026050	466349213	15.39721033881577	quant	Fri Jan 09 02:24:30 2026	Fri Jan 09 03:05:11 2026
SRR22134162	1.10.2	none	vb	[]	1	['IU']	1001	181.22525770080804	95.89990908427133	False	False	4096	mapping	False	193760	0	824608	False	['range_factorized', 'gzipped']	[564, 819, 1650, 3029, 109488]	258d84f121793e2bb1ec6c2fea975e710b7f7d7f489353b99e46f84e47c5f335	80b39417add14cedfda7fd02ddffe07a7cf880267a0e9eaef681228e06047f57	b5d7ab768fe1d0d4b48ae278bfeef339d31da6376b66cb8f7f6a6c3a5ff550c814128ee4562a2c31e18d86efc6e33d39a2107b1caeabf7d4c41a8c859fd006a7	f99cbe3ed1d857c61bf3c57e141d05d523311dbd8f87c03c044a280f9e6d2f4ef321080f830c7730878aeaa04a9855d12ecaed41911abaf15cee3483bde8e13e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	24262111	8234818	0	2585701	5103012	108520520	33.94106143525598	quant	Fri Jan 09 03:05:11 2026	Fri Jan 09 03:26:00 2026
SRR22134163	1.10.2	none	vb	[]	1	['IU']	1001	183.48548423458894	99.01640173601531	False	False	4096	mapping	False	193760	0	562628	False	['range_factorized', 'gzipped']	[564, 819, 1650, 3029, 109488]	258d84f121793e2bb1ec6c2fea975e710b7f7d7f489353b99e46f84e47c5f335	80b39417add14cedfda7fd02ddffe07a7cf880267a0e9eaef681228e06047f57	b5d7ab768fe1d0d4b48ae278bfeef339d31da6376b66cb8f7f6a6c3a5ff550c814128ee4562a2c31e18d86efc6e33d39a2107b1caeabf7d4c41a8c859fd006a7	f99cbe3ed1d857c61bf3c57e141d05d523311dbd8f87c03c044a280f9e6d2f4ef321080f830c7730878aeaa04a9855d12ecaed41911abaf15cee3483bde8e13e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	22844914	8349136	0	2653396	4344515	93515732	36.54702311420389	quant	Fri Jan 09 03:26:01 2026	Fri Jan 09 03:43:31 2026
SRR22134164	1.10.2	none	vb	[]	1	['IU']	1001	216.5529213017472	119.83791503959951	False	False	4096	mapping	False	193760	0	775447	False	['range_factorized', 'gzipped']	[564, 819, 1650, 3029, 109488]	258d84f121793e2bb1ec6c2fea975e710b7f7d7f489353b99e46f84e47c5f335	80b39417add14cedfda7fd02ddffe07a7cf880267a0e9eaef681228e06047f57	b5d7ab768fe1d0d4b48ae278bfeef339d31da6376b66cb8f7f6a6c3a5ff550c814128ee4562a2c31e18d86efc6e33d39a2107b1caeabf7d4c41a8c859fd006a7	f99cbe3ed1d857c61bf3c57e141d05d523311dbd8f87c03c044a280f9e6d2f4ef321080f830c7730878aeaa04a9855d12ecaed41911abaf15cee3483bde8e13e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	24514091	10364056	0	2243362	4405501	93030662	42.27795352477071	quant	Fri Jan 09 03:43:32 2026	Fri Jan 09 04:01:24 2026
SRR22134165	1.10.2	none	vb	[]	1	['IU']	1001	195.0360551224614	106.98344411861186	False	False	4096	mapping	False	193760	0	802731	False	['range_factorized', 'gzipped']	[564, 819, 1650, 3029, 109488]	258d84f121793e2bb1ec6c2fea975e710b7f7d7f489353b99e46f84e47c5f335	80b39417add14cedfda7fd02ddffe07a7cf880267a0e9eaef681228e06047f57	b5d7ab768fe1d0d4b48ae278bfeef339d31da6376b66cb8f7f6a6c3a5ff550c814128ee4562a2c31e18d86efc6e33d39a2107b1caeabf7d4c41a8c859fd006a7	f99cbe3ed1d857c61bf3c57e141d05d523311dbd8f87c03c044a280f9e6d2f4ef321080f830c7730878aeaa04a9855d12ecaed41911abaf15cee3483bde8e13e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23170117	10819071	0	2722580	4255653	93134672	46.69407150598333	quant	Fri Jan 09 04:01:25 2026	Fri Jan 09 04:19:19 2026
SRR22134166	1.10.2	none	vb	[]	1	['IU']	1001	211.84203819993152	111.5174743718475	False	False	4096	mapping	False	193760	0	835251	False	['range_factorized', 'gzipped']	[564, 819, 1650, 3029, 109488]	258d84f121793e2bb1ec6c2fea975e710b7f7d7f489353b99e46f84e47c5f335	80b39417add14cedfda7fd02ddffe07a7cf880267a0e9eaef681228e06047f57	b5d7ab768fe1d0d4b48ae278bfeef339d31da6376b66cb8f7f6a6c3a5ff550c814128ee4562a2c31e18d86efc6e33d39a2107b1caeabf7d4c41a8c859fd006a7	f99cbe3ed1d857c61bf3c57e141d05d523311dbd8f87c03c044a280f9e6d2f4ef321080f830c7730878aeaa04a9855d12ecaed41911abaf15cee3483bde8e13e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	30784376	20172545	0	3605486	4382736	76444269	65.528516803459	quant	Fri Jan 09 04:19:20 2026	Fri Jan 09 04:34:20 2026
SRR22134167	1.10.2	none	vb	[]	1	['IU']	1001	237.14805285465377	126.26768838751649	False	False	4096	mapping	False	193760	0	848394	False	['range_factorized', 'gzipped']	[564, 819, 1650, 3029, 109488]	258d84f121793e2bb1ec6c2fea975e710b7f7d7f489353b99e46f84e47c5f335	80b39417add14cedfda7fd02ddffe07a7cf880267a0e9eaef681228e06047f57	b5d7ab768fe1d0d4b48ae278bfeef339d31da6376b66cb8f7f6a6c3a5ff550c814128ee4562a2c31e18d86efc6e33d39a2107b1caeabf7d4c41a8c859fd006a7	f99cbe3ed1d857c61bf3c57e141d05d523311dbd8f87c03c044a280f9e6d2f4ef321080f830c7730878aeaa04a9855d12ecaed41911abaf15cee3483bde8e13e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	29593360	19324542	0	2505098	3522648	65483390	65.30026330230837	quant	Fri Jan 09 04:34:21 2026	Fri Jan 09 04:48:40 2026
SRR22134168	1.10.2	none	vb	[]	1	['IU']	1001	212.83447872460562	112.43140697276506	False	False	4096	mapping	False	193760	0	826187	False	['range_factorized', 'gzipped']	[564, 819, 1650, 3029, 109488]	258d84f121793e2bb1ec6c2fea975e710b7f7d7f489353b99e46f84e47c5f335	80b39417add14cedfda7fd02ddffe07a7cf880267a0e9eaef681228e06047f57	b5d7ab768fe1d0d4b48ae278bfeef339d31da6376b66cb8f7f6a6c3a5ff550c814128ee4562a2c31e18d86efc6e33d39a2107b1caeabf7d4c41a8c859fd006a7	f99cbe3ed1d857c61bf3c57e141d05d523311dbd8f87c03c044a280f9e6d2f4ef321080f830c7730878aeaa04a9855d12ecaed41911abaf15cee3483bde8e13e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	27869168	16923271	0	2970408	4176287	79171413	60.723990755662314	quant	Fri Jan 09 04:48:41 2026	Fri Jan 09 05:03:36 2026
SRR22134169	1.10.2	none	vb	[]	1	['IU']	1001	174.21721483188222	89.01803305927307	False	False	4096	mapping	False	193760	0	573305	False	['range_factorized', 'gzipped']	[564, 819, 1650, 3029, 109488]	258d84f121793e2bb1ec6c2fea975e710b7f7d7f489353b99e46f84e47c5f335	80b39417add14cedfda7fd02ddffe07a7cf880267a0e9eaef681228e06047f57	b5d7ab768fe1d0d4b48ae278bfeef339d31da6376b66cb8f7f6a6c3a5ff550c814128ee4562a2c31e18d86efc6e33d39a2107b1caeabf7d4c41a8c859fd006a7	f99cbe3ed1d857c61bf3c57e141d05d523311dbd8f87c03c044a280f9e6d2f4ef321080f830c7730878aeaa04a9855d12ecaed41911abaf15cee3483bde8e13e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	27982671	14228502	0	5105112	5857101	99683067	50.847547755537704	quant	Fri Jan 09 05:03:36 2026	Fri Jan 09 05:17:22 2026
