"symbol","log2FoldChange","padj","Direction"
"TRIM26",12.1649671565325,2.44944297773498e-10,"Upregulated"
"SIGLEC12",-5.97536369719946,2.66520851039457e-09,"Downregulated"
"UTY",5.78698680989828,2.36720450582553e-08,"Upregulated"
"GUCY1A1",5.74307143236219,4.33272945368567e-08,"Upregulated"
"BDP1",2.56498624481647,5.57361668705965e-08,"Upregulated"
"FCGR2A",-2.75573781564847,7.54955036355221e-08,"Downregulated"
"DHX34",-3.18581937537189,3.09741334185797e-07,"Downregulated"
"BYSL",-3.84886973763025,4.28710936712538e-07,"Downregulated"
"MLXIP",-11.081629390906,8.10353301417364e-07,"Downregulated"
"BMERB1",-2.93002989789765,8.1561181593787e-07,"Downregulated"
