"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","70/1015","325/18870",0.215384615384615,4.00424403183024,13.0253980749973,5.69615496957202e-24,3.63357725508999e-20,NA,"YTHDF2/EXOSC8/RIOX2/PES1/NOP16/TBL3/BYSL/YBEY/NOP56/BUD23/LYAR/PPAN/RPP40/NOLC1/RPUSD1/EMG1/SBDS/PDCD11/DDX47/TFB2M/NLE1/PWP2/RPS17/NOP2/NOL7/PAK1IP1/RSL1D1/UTP14A/GNL2/RRP9/ESF1/MRPL20/DDX54/RPP38/RPUSD2/ABT1/NIP7/NIFK/RAN/WDR43/NOC4L/NHP2/C1QBP/TRMT61B/SDAD1/XRCC5/GAR1/LTV1/WDR3/RPF2/GTPBP4/EXOSC4/GEMIN4/LAS1L/ZNF593/RIOK1/MRPS7/ABCE1/EXOSC5/MYBBP1A/RRS1/GRWD1/KRI1/POP4/AATF/MPV17L2/UTP15/FTSJ3/EBNA1BP2/EXOSC3",70
"GO:0034470","ncRNA processing","79/1015","439/18870",0.17995444191344,3.34555696444001,11.8558127479416,1.11828246111821e-21,3.56676190973652e-18,NA,"SSB/YTHDF2/EXOSC8/TARBP2/PES1/INTS9/TBL3/TRMT2A/BYSL/YBEY/NOP56/BUD23/LYAR/DUS3L/PPAN/RPP40/FTSJ1/NOLC1/RPUSD1/EMG1/SBDS/PDCD11/AARS1/YRDC/SPOUT1/DDX47/TFB2M/IL6/PWP2/TSEN15/RPS17/NOP2/HNRNPA2B1/RSL1D1/UTP14A/RRP9/TPRKB/ESF1/DDX54/RPP38/RPUSD2/HSD17B10/ABT1/NIFK/PUS7/WDR4/CTU2/WDR43/NOC4L/NHP2/TRMT61B/GAR1/WDR3/RPF2/GTPBP4/EXOSC4/GEMIN4/QTRT1/LAS1L/FARS2/RIOK1/TRMT1/EXOSC5/TRMT61A/SMAD2/NSUN2/RRS1/SARS1/KRI1/METTL1/POP4/DUS1L/DPH3/TSN/ELAC2/UTP15/FTSJ3/EBNA1BP2/EXOSC3",79
"GO:0006364","rRNA processing","50/1015","225/18870",0.222222222222222,4.13136288998358,11.2660325512532,4.63536084822809e-18,9.85632228361567e-15,NA,"YTHDF2/EXOSC8/PES1/TBL3/BYSL/YBEY/NOP56/BUD23/LYAR/PPAN/RPP40/NOLC1/RPUSD1/EMG1/SBDS/PDCD11/DDX47/TFB2M/PWP2/RPS17/NOP2/RSL1D1/UTP14A/RRP9/ESF1/DDX54/RPP38/RPUSD2/ABT1/NIFK/WDR43/NOC4L/NHP2/TRMT61B/GAR1/WDR3/RPF2/GTPBP4/EXOSC4/GEMIN4/LAS1L/RIOK1/EXOSC5/RRS1/KRI1/POP4/UTP15/FTSJ3/EBNA1BP2/EXOSC3",50
"GO:0016072","rRNA metabolic process","51/1015","264/18870",0.193181818181818,3.59146887595163,10.1099495514088,1.05208938338529e-15,1.67781954415369e-12,NA,"YTHDF2/MARS1/EXOSC8/PES1/TBL3/BYSL/YBEY/NOP56/BUD23/LYAR/PPAN/RPP40/NOLC1/RPUSD1/EMG1/SBDS/PDCD11/DDX47/TFB2M/PWP2/RPS17/NOP2/RSL1D1/UTP14A/RRP9/ESF1/DDX54/RPP38/RPUSD2/ABT1/NIFK/WDR43/NOC4L/NHP2/TRMT61B/GAR1/WDR3/RPF2/GTPBP4/EXOSC4/GEMIN4/LAS1L/RIOK1/EXOSC5/RRS1/KRI1/POP4/UTP15/FTSJ3/EBNA1BP2/EXOSC3",51
"GO:0140053","mitochondrial gene expression","39/1015","163/18870",0.239263803680982,4.44818519749766,10.5416804751749,1.63097833268947e-15,2.08080215684523e-12,NA,"MRPS25/MRPL17/MRPS23/TUFM/MRPL21/TFB2M/MTG1/MRPL12/UQCC2/MRPL20/MRPL27/MRPL58/TBRG4/HSD17B10/MRPL42/MRPS22/MRPS16/MRPS28/MRPL39/C1QBP/TRMT61B/MRPL35/MRPL46/MRPL45/MRPL24/SHMT2/RCC1L/MRPS7/MRPS9/THAP11/MRPL11/MRPL54/SARS2/FASTK/MRPL49/MRPS11/ELAC2/MPV17L2/TSFM",39
"GO:0032543","mitochondrial translation","32/1015","130/18870",0.246153846153846,4.57627889352027,9.75541610842127,2.43035440424615e-13,2.58387179078104e-10,NA,"MRPS25/MRPL17/MRPS23/TUFM/MRPL21/MTG1/MRPL12/UQCC2/MRPL20/MRPL27/MRPL58/MRPL42/MRPS22/MRPS16/MRPS28/MRPL39/C1QBP/MRPL35/MRPL46/MRPL45/MRPL24/SHMT2/RCC1L/MRPS7/MRPS9/MRPL11/MRPL54/SARS2/MRPL49/MRPS11/MPV17L2/TSFM",32
"GO:0006399","tRNA metabolic process","37/1015","197/18870",0.187817258883249,3.49173564051912,8.38215263269195,2.20189893949897e-11,2.00655904786628e-08,NA,"SSB/MARS1/EXOSC8/TRMT2A/FARSA/DUS3L/RPP40/IARS1/FTSJ1/POLR3D/LARS1/AARS1/YRDC/TSEN15/TPRKB/RPP38/HSD17B10/PUS7/WDR4/CTU2/TRMT61B/TARS1/CARS1/QTRT1/FARS2/TRMT1/TRMT61A/NSUN2/EPRS1/SARS2/SARS1/METTL1/POP4/DUS1L/DPH3/ELAC2/EXOSC3",37
"GO:0009451","RNA modification","33/1015","180/18870",0.183333333333333,3.40837438423645,7.74075170876011,5.12235763405217e-10,4.08443991845235e-07,NA,"SSB/TRMT2A/SNRPD1/BUD23/DUS3L/FTSJ1/DNAJB11/RPUSD1/EMG1/AARS1/YRDC/TFB2M/HNRNPAB/NOP2/TPRKB/RPUSD2/HSD17B10/PUS7/WDR4/CTU2/NHP2/TRMT61B/GAR1/QTRT1/TRMT1/TRMT61A/NSUN2/SARS1/METTL1/DUS1L/DPH3/SNRPB/FTSJ3",33
"GO:0008033","tRNA processing","26/1015","134/18870",0.194029850746269,3.60723476214984,7.22140386949478,1.02095344145732e-08,7.23629111450693e-06,NA,"SSB/TRMT2A/DUS3L/RPP40/FTSJ1/AARS1/YRDC/TSEN15/TPRKB/RPP38/HSD17B10/PUS7/WDR4/CTU2/TRMT61B/QTRT1/FARS2/TRMT1/TRMT61A/NSUN2/SARS1/METTL1/POP4/DUS1L/DPH3/ELAC2",26
"GO:0072594","establishment of protein localization to organelle","54/1015","459/18870",0.117647058823529,2.1871921182266,6.13926237801158,5.36606017199801e-08,3.42300978371753e-05,NA,"SRPRB/CD68/BAG6/IPO9/WBP2/TIMM8A/DNAJC19/CCT7/MON1A/PDCD5/CCT2/M6PR/IPO4/BCS1L/SAMM50/VPS4A/TIMM10/TIMM50/SEC61A1/CHCHD4/TOMM6/TNPO3/TOMM40/TOMM40L/GET3/TIMM8B/CSE1L/TOMM22/SIX2/BID/NUTF2/HAX1/HK1/RAN/DMAP1/LMNA/MON1B/NCOA4/SRP9/SNF8/SORT1/CCT3/SEC13/MTCH2/IMMP2L/TIMM21/RANGRF/SYK/IPO11/UFM1/JAK2/TIMM10B/IPO13/CCT5",54
