"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005743","mitochondrial inner membrane","82/1048","497/19886",0.164989939637827,3.13071559125747,11.346241302319,1.64935316089968e-20,1.25515775544466e-17,NA,"APOO/HIGD1A/SLC25A5/SLC25A11/ALDH18A1/MRPS25/TIMM8A/MRPL17/DNAJC19/MRPS23/SLC25A20/CYC1/NDUFAF4/GHITM/NDUFS7/SDHD/PLA2G4A/ATAD3A/BCS1L/MRPL21/NDUFAF3/SAMM50/CYCS/NDUFA11/TIMM10/TIMM50/MTG1/NDUFA4/MRPL12/TOMM40/COX16/UQCC2/MRPL20/MRPL27/MRPL58/TIMM8B/MRPL42/ATP5MC1/MRPS22/MRPS16/SFXN4/MRPS28/MRPL39/TMEM11/IMMT/SLC25A39/NDUFS6/MRPL35/MRPL46/FGR/LDHD/TRAP1/MRPL45/NDUFA9/ATP5PB/SDHC/MRPL24/SHMT2/RCC1L/MRPS7/COQ2/MRPS9/MPV17/UQCRC1/STOML2/PHB1/ENDOG/MRPL11/MRPL54/NDUFB9/IMMP2L/MICOS13/MRPL49/TIMM21/MRPS11/SLC25A19/COX7A2L/TMEM126A/MPV17L2/PISD/MPC2/TIMM10B",82
"GO:0098798","mitochondrial protein-containing complex","61/1048","300/19886",0.203333333333333,3.85828880407125,11.765757773821,4.10818734493657e-20,1.56316528474837e-17,NA,"APOO/SLC25A5/MRPS25/TIMM8A/MRPL17/DNAJC19/MRPS23/CYC1/NDUFS7/SDHD/BCS1L/MRPL21/SAMM50/NDUFA11/TIMM10/TIMM50/NDUFA4/MRPL12/TOMM6/TOMM40/TOMM40L/MRPL20/MRPL27/MRPL58/TIMM8B/HSD17B10/MRPL42/TOMM22/ATP5MC1/MRPS22/MRPS16/MRPS28/MRPL39/IMMT/NDUFS6/IDH3B/MRPL35/MRPL46/BCKDK/MRPL45/NDUFA9/ATP5PB/SDHC/MRPL24/MRPS7/MRPS9/UQCRC1/PHB1/MRPL11/MRPL54/NDUFB9/IMMP2L/DLD/MICOS13/MRPL49/TIMM21/MRPS11/COX7A2L/MPV17L2/MPC2/TIMM10B",61
"GO:0005759","mitochondrial matrix","66/1048","487/19886",0.135523613963039,2.57158643823377,8.28207433719541,1.57237340068887e-12,3.98858719308076e-10,NA,"SLC25A5/HSD17B8/MRRF/MRPS25/BOLA3/SDHAF2/MRPL17/DNAJC19/MRPS23/SSBP1/NDUFS7/ATAD3A/TUFM/BCAT2/MRPL21/TFB2M/MTG1/MRPL12/UQCC2/MRPL20/MRPL27/MRPL58/TBRG4/ADPRS/HSD17B10/MRPL42/OGG1/MRPS22/MRPS16/HAX1/MRPS28/MRPL39/ECI1/IDH3B/C1QBP/TRMT61B/MRPL35/MRPL46/BCKDK/TRAP1/MRPL45/NDUFA9/ATP5PB/MRPL24/PYCR2/SHMT2/FARS2/PRDX3/MRPS7/NAXE/MRPS9/ABCE1/VDAC2/PYCR1/MRPL11/MRPL54/DLD/SARS2/FASTK/MRPL49/POLDIP2/MRPS11/PCCB/ELAC2/MPV17L2/TSFM",66
"GO:0000313","organellar ribosome","25/1048","89/19886",0.280898876404494,5.33010978643108,9.65651150289468,2.75418510606226e-12,4.19186973142676e-10,NA,"MRPS25/MRPL17/MRPS23/MRPL21/MTG1/MRPL12/MRPL20/MRPL27/MRPL58/MRPL42/MRPS22/MRPS16/MRPS28/MRPL39/MRPL35/MRPL46/MRPL45/MRPL24/MRPS7/MRPS9/MRPL11/MRPL54/MRPL49/MRPS11/MPV17L2",25
"GO:0005761","mitochondrial ribosome","25/1048","89/19886",0.280898876404494,5.33010978643108,9.65651150289468,2.75418510606226e-12,4.19186973142676e-10,NA,"MRPS25/MRPL17/MRPS23/MRPL21/MTG1/MRPL12/MRPL20/MRPL27/MRPL58/MRPL42/MRPS22/MRPS16/MRPS28/MRPL39/MRPL35/MRPL46/MRPL45/MRPL24/MRPS7/MRPS9/MRPL11/MRPL54/MRPL49/MRPS11/MPV17L2",25
"GO:0030684","preribosome","27/1048","109/19886",0.247706422018349,4.70027663001611,9.13678231111705,9.69536670688179e-12,1.22969567732284e-09,NA,"PES1/TBL3/BYSL/NOP56/PPAN/EMG1/PDCD11/PWP2/RPS17/NOL7/RSL1D1/UTP14A/RRP9/NIP7/WDR43/NOC4L/XRCC5/LTV1/WDR3/LAS1L/RIOK1/RRS1/KRI1/AATF/UTP15/FTSJ3/EBNA1BP2",27
"GO:0000315","organellar large ribosomal subunit","16/1048","56/19886",0.285714285714286,5.42148309705562,7.81495835737836,1.79120036342003e-08,1.7038793457033e-06,NA,"MRPL17/MRPL21/MRPL12/MRPL20/MRPL27/MRPL58/MRPL42/MRPL39/MRPL35/MRPL46/MRPL45/MRPL24/MRPL11/MRPL54/MRPL49/MPV17L2",16
"GO:0005762","mitochondrial large ribosomal subunit","16/1048","56/19886",0.285714285714286,5.42148309705562,7.81495835737836,1.79120036342003e-08,1.7038793457033e-06,NA,"MRPL17/MRPL21/MRPL12/MRPL20/MRPL27/MRPL58/MRPL42/MRPL39/MRPL35/MRPL46/MRPL45/MRPL24/MRPL11/MRPL54/MRPL49/MPV17L2",16
"GO:1904813","ficolin-1-rich granule lumen","24/1048","124/19886",0.193548387096774,3.67261758187639,7.04138772592828,2.69334690485485e-08,2.27737443843838e-06,NA,"GNS/CALML5/COMMD9/PSMD3/DYNLT1/PKM/ACLY/PSMD2/NME2/XRCC6/PSMC2/PNP/PSMB7/ILF2/PSMD11/TNFAIP6/ACTR10/PRG2/PFKL/PSMC3/CAB39/DBNL/VCL/APEH",24
"GO:0005758","mitochondrial intermembrane space","18/1048","79/19886",0.227848101265823,4.32346120398106,6.98105164720846,1.1026161876046e-07,8.39090918767103e-06,NA,"TIMM8A/CIAPIN1/CYCS/TIMM10/CHCHD4/UQCC2/TIMM8B/TRIAP1/HAX1/IMMT/PRELID3B/FGR/TRAP1/DIABLO/STOML2/COA4/AK2/TIMM10B",18
"GO:0031970","organelle envelope lumen","19/1048","89/19886",0.213483146067416,4.05088343768762,6.80372841869752,1.48757422968619e-07,1.02913089890109e-05,NA,"TIMM8A/CIAPIN1/CYCS/TIMM10/CHCHD4/UQCC2/TUBB/TIMM8B/TRIAP1/HAX1/IMMT/PRELID3B/FGR/TRAP1/DIABLO/STOML2/COA4/AK2/TIMM10B",19
"GO:0098800","inner mitochondrial membrane protein complex","26/1048","158/19886",0.164556962025316,3.12249975843077,6.31772482797514,2.21745589668567e-07,1.4062366144815e-05,NA,"APOO/DNAJC19/CYC1/NDUFS7/SDHD/BCS1L/SAMM50/NDUFA11/TIMM10/TIMM50/NDUFA4/ATP5MC1/IMMT/NDUFS6/NDUFA9/ATP5PB/SDHC/UQCRC1/PHB1/NDUFB9/IMMP2L/MICOS13/TIMM21/COX7A2L/MPC2/TIMM10B",26
"GO:0034774","secretory granule lumen","40/1048","322/19886",0.124223602484472,2.35716656393722,5.79106317918071,4.3174013535013e-07,2.52734033078038e-05,NA,"CREG1/GNS/MAGED2/COMMD9/CPPED1/PSMD3/CCT2/OLA1/DYNLT1/PKM/APRT/S100A11/ACLY/PSMD2/ACTN4/TUBB/NME2/XRCC6/PSMC2/PNP/PSMB7/ANXA2/ILF2/XRCC5/PSMD11/FGR/ACTR10/PTGES2/PFKL/CHI3L1/PSMC3/NEU1/CAB39/DBNL/VCL/CXCL1/TUBB4B/GAS6/GLA/NIT2",40
"GO:0060205","cytoplasmic vesicle lumen","40/1048","325/19886",0.123076923076923,2.33540810334704,5.72514122208768,5.50373419512852e-07,2.99167265892343e-05,NA,"CREG1/GNS/MAGED2/COMMD9/CPPED1/PSMD3/CCT2/OLA1/DYNLT1/PKM/APRT/S100A11/ACLY/PSMD2/ACTN4/TUBB/NME2/XRCC6/PSMC2/PNP/PSMB7/ANXA2/ILF2/XRCC5/PSMD11/FGR/ACTR10/PTGES2/PFKL/CHI3L1/PSMC3/NEU1/CAB39/DBNL/VCL/CXCL1/TUBB4B/GAS6/GLA/NIT2",40
"GO:0031983","vesicle lumen","40/1048","326/19886",0.122699386503067,2.32824427480916,5.70332828153018,5.96249442752347e-07,3.02497217289691e-05,NA,"CREG1/GNS/MAGED2/COMMD9/CPPED1/PSMD3/CCT2/OLA1/DYNLT1/PKM/APRT/S100A11/ACLY/PSMD2/ACTN4/TUBB/NME2/XRCC6/PSMC2/PNP/PSMB7/ANXA2/ILF2/XRCC5/PSMD11/FGR/ACTR10/PTGES2/PFKL/CHI3L1/PSMC3/NEU1/CAB39/DBNL/VCL/CXCL1/TUBB4B/GAS6/GLA/NIT2",40
"GO:0044391","ribosomal subunit","27/1048","188/19886",0.143617021276596,2.72516038655189,5.60561643798856,2.07898181266846e-06,9.88815724650436e-05,NA,"MRPS25/MRPL17/MRPS23/MRPL21/RPS17/RSL1D1/MRPL12/MRPL20/MRPL27/MRPL58/MRPL42/MRPS22/MRPS16/MRPS28/MRPL39/NHP2/MRPL35/MRPL46/MRPL45/MRPL24/MRPS7/MRPS9/MRPL11/MRPL54/MRPL49/MRPS11/MPV17L2",27
"GO:0005840","ribosome","32/1048","246/19886",0.130081300813008,2.46831750760256,5.4656627621109,2.24741518025037e-06,0.000100604879539443,NA,"MRPS25/MRPL17/MRPS23/MRPL21/RPS17/MTG1/RSL1D1/MRPL12/MRPL20/MRPL27/MRPL58/MRPL42/MRPS22/MRPS16/MRPS28/MRPL39/FUBP3/APEX1/NHP2/MRPL35/MRPL46/MRPL45/MRPL24/MRPS7/MRPS9/ABCE1/MRPL11/MRPL54/MRPL49/GCN1/MRPS11/MPV17L2",32
"GO:0140534","endoplasmic reticulum protein-containing complex","21/1048","126/19886",0.166666666666667,3.16253180661578,5.74354924365254,2.56888233231981e-06,0.000108606636383076,NA,"SRPRB/PIGU/DPM2/EMC7/PIGQ/P4HB/DDOST/GPAA1/DNAJB11/HLA-A/EMC2/HYOU1/SEC61A1/ORMDL2/GET3/SRP9/UFD1/TAP2/DERL3/STT3A/GANAB",21
"GO:0101002","ficolin-1-rich granule","26/1048","185/19886",0.140540540540541,2.6667835774706,5.3721358209553,4.7925772381031e-06,0.000191955330431393,NA,"GNS/CALML5/COMMD9/PSMD3/DYNLT1/SIGLEC14/PKM/ACLY/PSMD2/DOK3/NME2/XRCC6/PSMC2/PNP/PSMB7/ILF2/PSMD11/TNFAIP6/ACTR10/PRG2/PFKL/PSMC3/CAB39/DBNL/VCL/APEH",26
"GO:0032040","small-subunit processome","15/1048","74/19886",0.202702702702703,3.84632246750567,5.78577903995543,5.93355124197381e-06,0.000225771624757103,NA,"TBL3/NOP56/EMG1/PDCD11/PWP2/RPS17/NOL7/UTP14A/RRP9/WDR43/NOC4L/XRCC5/WDR3/AATF/UTP15",15
