"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140101","catalytic activity, acting on a tRNA","26/1043","131/18496",0.198473282442748,3.51961824742193,7.07471915067942,1.62727767078356e-08,2.04386075450415e-05,NA,"MARS1/TRMT2A/FARSA/DUS3L/RPP40/IARS1/FTSJ1/LARS1/AARS1/MRPL58/RPP38/TRMT61B/TARS1/CARS1/QTRT1/FARS2/TRMT1/TRMT61A/NSUN2/EPRS1/SARS2/SARS1/METTL1/POP4/DUS1L/ELAC2",26
"GO:0043021","ribonucleoprotein complex binding","28/1043","168/18496",0.166666666666667,2.95557686161713,6.22452578759773,2.3152169811801e-07,0.000145395626418111,NA,"BAG6/MRRF/PES1/NAA10/IFRD2/G3BP1/SBDS/OLA1/TIMM50/PYM1/SEC61A1/PPP1CA/GTPBP6/SND1/C1QBP/NME1/GTPBP4/GEMIN5/GEMIN4/SRP9/ZNF593/CD2BP2/ABCE1/DERL3/GCN1/SNRPB/PRMT5/CCDC47",28
"GO:0000049","tRNA binding","17/1043","79/18496",0.215189873417722,3.81606126436642,6.13169406601542,1.49808028412195e-06,0.000627196278952391,NA,"SSB/MARS1/XPOT/FARSA/IARS1/AARS1/YRDC/HSD17B10/CTU2/TARS1/CARS1/FARS2/TRMT1/NSUN2/SARS2/SARS1/METTL1",17
"GO:0140098","catalytic activity, acting on RNA","46/1043","395/18496",0.116455696202532,2.0651625665983,5.23115317332791,2.50478041402513e-06,0.00078650105000389,NA,"MARS1/TRMT2A/RNGTT/POLR3H/YBEY/BUD23/FARSA/G3BP1/DUS3L/RPP40/IARS1/FTSJ1/EMG1/LARS1/AARS1/DDX47/TFB2M/KHNYN/NOP2/MRPL58/DDX54/RPP38/SND1/APEX1/TRMT61B/TARS1/CARS1/POLR1C/EXOSC4/QTRT1/FARS2/DHX34/TRMT1/EXOSC5/TRMT61A/ENDOG/NSUN2/EPRS1/SARS2/SARS1/METTL1/POP4/DUS1L/ELAC2/FTSJ3/EXOSC3",46
"GO:0004812","aminoacyl-tRNA ligase activity","11/1043","41/18496",0.268292682926829,4.75775787479831,5.88840909572375,1.14913392153163e-05,0.00240552034240621,NA,"MARS1/FARSA/IARS1/LARS1/AARS1/TARS1/CARS1/FARS2/EPRS1/SARS2/SARS1",11
"GO:0016875","ligase activity, forming carbon-oxygen bonds","11/1043","41/18496",0.268292682926829,4.75775787479831,5.88840909572375,1.14913392153163e-05,0.00240552034240621,NA,"MARS1/FARSA/IARS1/LARS1/AARS1/TARS1/CARS1/FARS2/EPRS1/SARS2/SARS1",11
"GO:0005200","structural constituent of cytoskeleton","18/1043","112/18496",0.160714285714286,2.8500205451308,4.80064768616743,5.29786550013448e-05,0.00950588438309844,NA,"ACTR3/TUBB2A/TUBA1B/MSN/KRT2/ACTB/TUBA1A/TUBB/TUBB2B/TUBA1C/LMNA/LMNB2/TUBE1/TUBB6/DBNL/ACTG1/TUBB4B/ARPC1B",18
"GO:0016741","transferase activity, transferring one-carbon groups","27/1043","226/18496",0.119469026548673,2.11859934328308,4.13612622181856,0.000188393359414575,0.0287125800002264,NA,"SMYD5/TRMT2A/BUD23/SETD9/FTSJ1/CIAPIN1/EMG1/SPOUT1/TFB2M/PRDM8/PRMT1/NOP2/EEF1AKMT4/PRDM4/EHMT2/NTMT1/TRMT61B/ATIC/SHMT2/SRM/TRMT1/TRMT61A/NSUN2/METTL1/EEF1AKMT1/PRMT5/FTSJ3",27
"GO:0042162","telomeric DNA binding","9/1043","38/18496",0.236842105263158,4.20003027703487,4.82711719097928,0.000205743009555762,0.0287125800002264,NA,"TELO2/HNRNPA2B1/SMG5/XRCC6/APEX1/XRCC5/TINF2/RAD50/RPA2",9
"GO:0008173","RNA methyltransferase activity","12/1043","65/18496",0.184615384615385,3.27386975440667,4.48933579826547,0.000243800881281005,0.0306213906888942,NA,"TRMT2A/BUD23/FTSJ1/EMG1/TFB2M/NOP2/TRMT61B/TRMT1/TRMT61A/NSUN2/METTL1/FTSJ3",12
