"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034702","monoatomic ion channel complex","68/2005","300/19886",0.226666666666667,2.24812635078969,7.2940777628234,1.08621707316731e-10,8.2661119268032e-08,NA,"CHRNA2/CACNB4/CLCNKB/KCNMB4/CLIC5/GLRA1/RYR2/CACNG5/SHISA7/GRIK2/GABRD/GABRG3/SCN11A/CLCN2/GRIN2B/GRIN2C/GABRB2/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/SCN9A/CPT1C/KCNQ5/KCNJ11/CHRNA1/ABCC8/PDE4D/C2CD6/KCNC2/GRIN2A/GRIA2/CACNB2/CNGB1/TRPC5/KCNB1/AKAP6/KCND3/CHRNB4/GRIA3/SCNN1A/SCN1A/GRIA1/KCNE1/KCNJ3/KCNG1/CACHD1/LRRC38/KCNJ6/KCNMB1/SCN2A/SCN3B/CACNA1E/HTR3B/KCNG4/KCNA7/KCNA3/CACNA1A/CACNA1F/KCNV1/DLG4/CHRNA3/PKD1L1/GABRB3/LRRC8E/SHISA9/SCN2B",68
"GO:0009897","external side of plasma membrane","79/2005","387/19886",0.204134366925065,2.02464639435004,6.81627986557643,7.41692033865293e-10,2.82213818885744e-07,NA,"ITGA10/TNFRSF13C/ITGA1/CD40LG/LDLR/KLRD1/GLRA1/LRP2/RAET1E/GP2/HHLA2/P2RX7/CD28/FAS/CLEC10A/ABCB1/SELE/HFE/BCAM/NCAM1/HLA-F/KLRC1/GHR/CCR4/CLEC4E/HLA-A/MICA/IL21R/IL7R/ITGA8/CSF2RA/ADA/ICOSLG/AZGP1/TMC1/IL2RB/ITGB6/MCAM/ACE/GRIA2/CDH13/FCGR1A/ATP1B2/RTBDN/EFNA5/IL23R/MUC16/CLEC4M/PRND/ITGA2B/SCNN1A/ULBP3/KCNJ3/IL12RB1/IL31RA/CSF3R/FGB/ITGAL/BTNL9/CLEC2D/CD3G/CLEC17A/MPL/CD163/CXCR5/RTN4R/TRPM8/CD226/THY1/CXCR2/F3/CCR6/FCGR3A/MUC17/LILRB1/IL12RB2/CCR1/SLC22A11/SLC2A4",79
"GO:0045211","postsynaptic membrane","61/2005","275/19886",0.221818181818182,2.20003808660168,6.71020195886071,2.39775507486818e-09,6.08230537324896e-07,NA,"CHRNA2/EPHB2/CLSTN2/ANK2/DMD/RPH3A/GLRA1/CACNG5/SHC4/ADCY1/SHISA7/GSG1L/GRIK2/GABRD/GABRG3/GRIN2B/CNTN1/GRIN2C/GABRB2/KCNJ2/TENM2/ITGA8/LRRC7/PTPRO/CHRNA1/ERBB4/OPRK1/GRM7/KCNC2/GRIN2A/GRIA2/KCNB1/CNTN2/PCDHB13/KCND3/NLGN3/CHRNB4/EPHA4/GRIA3/GRIA1/GRM3/DGKB/FARP1/SLC6A11/ANK3/CHRM3/RGS9/OPRD1/SHANK3/SLC6A1/HTR3B/KCNA3/DLG4/SLC6A4/CHRNA3/NSG1/GABRB3/GPR158/LRFN3/SHISA9/NECTIN3",61
"GO:0097060","synaptic membrane","76/2005","393/19886",0.193384223918575,1.91802427772807,6.15510101634611,1.84624849006252e-08,3.51248775234394e-06,NA,"CHRNA2/EPHB2/CLSTN2/SYP/ANK2/DMD/RPH3A/GLRA1/ERBB2/CACNG5/SHC4/ADCY1/SHISA7/GSG1L/SYDE2/GRIK2/GABRD/NRXN2/GABRG3/GRIN2B/DNAJC6/CNTN1/GRIN2C/GABRB2/KCNJ2/TENM2/ITGA8/KCNQ5/SNAP25/LRRC7/PTPRO/CHRNA1/ERBB4/OPRK1/NTNG1/NRXN1/GRM7/RIMS2/KCNC2/GRIN2A/GRIA2/KCNB1/CNTN2/PCDHB13/KCND3/NLGN3/LPAR2/CHRNB4/EPHA4/GRIA3/GRIA1/GRM3/DGKB/KCNJ3/IL31RA/FARP1/SLC6A11/ANK3/CHRM3/RGS9/SCN2A/OPRD1/SHANK3/SLC6A1/HTR3B/KCNA3/DLG4/SLC6A4/CHRNA3/NSG1/GABRB3/NRXN3/GPR158/LRFN3/SHISA9/NECTIN3",76
"GO:0016324","apical plasma membrane","75/2005","403/19886",0.186104218362283,1.84581969394133,5.74415943031183,1.18489296249821e-07,1.80340708892228e-05,NA,"SLC29A4/SLC16A1/DUOX1/ANK2/CLIC5/ERBB3/ERBB2/LRP2/SLC24A4/GP2/WDPCP/SLC6A14/SLC16A2/SLC13A1/SLC47A2/SLC12A3/PARD6G/LHFPL5/ABCB1/RAPGEF6/ANXA13/OTOA/CEACAM5/RIPOR2/SLC52A3/DSG2/SLC7A9/SPTBN2/SLC6A20/SLC2A5/CD300LG/CDH2/USH2A/SLC9A4/ABCG8/SLC15A2/SLC16A3/NHS/ABCB11/PTPRO/PFKM/SLC14A2/PDE4D/SLC6A19/KCNC2/ATP1B2/MARVELD2/SLC15A1/KCNB1/PATJ/SHROOM4/PROM2/ASPM/ATP7A/P2RY6/TRPM6/SCNN1A/KCNE1/ADGRG2/UPK1B/KCNE4/FRMD1/SLC26A4/KIAA1614/ATP6V0D2/RAB27A/SLC12A1/SLC3A1/THY1/CA14/MYO7A/SLC4A5/MUC17/PTPRH/SLC22A11",75
"GO:0034703","cation channel complex","44/2005","193/19886",0.227979274611399,2.26114506479914,5.8953805369409,1.71897483062439e-07,2.18023307684194e-05,NA,"CACNB4/KCNMB4/RYR2/GRIK2/SCN11A/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/SCN9A/KCNQ5/KCNJ11/ABCC8/PDE4D/C2CD6/KCNC2/CACNB2/CNGB1/TRPC5/KCNB1/AKAP6/KCND3/SCNN1A/SCN1A/KCNE1/KCNJ3/KCNG1/CACHD1/LRRC38/KCNJ6/KCNMB1/SCN2A/SCN3B/CACNA1E/HTR3B/KCNG4/KCNA7/KCNA3/CACNA1A/CACNA1F/KCNV1/PKD1L1/SCN2B",44
"GO:1902495","transmembrane transporter complex","72/2005","394/19886",0.182741116751269,1.81246376444675,5.45441269672701,4.36227068626445e-07,4.74241141749607e-05,NA,"CHRNA2/CACNB4/CLCNKB/KCNMB4/CLIC5/GLRA1/RYR2/CACNG5/SHISA7/ATP1A3/GRIK2/GABRD/GABRG3/SCN11A/CLCN2/GRIN2B/ATP1B4/GRIN2C/GABRB2/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/SCN9A/ABCG8/CPT1C/KCNQ5/KCNJ11/CHRNA1/ABCC8/PDE4D/C2CD6/KCNC2/GRIN2A/GRIA2/ATP1B2/CACNB2/CNGB1/TRPC5/KCNB1/AKAP6/KCND3/CHRNB4/GRIA3/SCNN1A/SCN1A/GRIA1/KCNE1/KCNJ3/KCNG1/CACHD1/LRRC38/KCNJ6/KCNMB1/SCN2A/SCN3B/CACNA1E/HTR3B/KCNG4/KCNA7/KCNA3/CACNA1A/CACNA1F/KCNV1/DLG4/CHRNA3/PKD1L1/GABRB3/LRRC8E/SHISA9/SCN2B",72
"GO:1990351","transporter complex","75/2005","421/19886",0.178147268408551,1.76690103719324,5.32570680414205,7.05018465930663e-07,6.32123439278629e-05,NA,"CHRNA2/CACNB4/CLCNKB/KCNMB4/CLIC5/GLRA1/RYR2/CACNG5/SHISA7/ATP1A3/GRIK2/GABRD/GABRG3/SCN11A/CLCN2/GRIN2B/ATP1B4/GRIN2C/GABRB2/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/SCN9A/ABCG8/CPT1C/KCNQ5/KCNJ11/ATP8A2/CHRNA1/ABCC8/PDE4D/C2CD6/KCNC2/GRIN2A/GRIA2/ATP1B2/CACNB2/CNGB1/TRPC5/KCNB1/AKAP6/KCND3/CHRNB4/GRIA3/SCNN1A/SCN1A/GRIA1/KCNE1/KCNJ3/KCNG1/CACHD1/LRRC38/KCNJ6/ATP10B/KCNMB1/SCN2A/SCN3B/CACNA1E/HTR3B/KCNG4/KCNA7/KCNA3/CACNA1A/CACNA1F/KCNV1/DLG4/CHRNA3/PKD1L1/GABRB3/LRRC8E/SHISA9/ATP10A/SCN2B",75
"GO:0043025","neuronal cell body","84/2005","489/19886",0.171779141104294,1.70374064837905,5.27623181110652,7.47583568135041e-07,6.32123439278629e-05,NA,"DSCAM/HMCN2/CD200/TIAM2/EPHB2/ITGA1/S100B/CX3CL1/GLRA1/EFHC1/P2RX7/TGFB2/TNN/PTK7/ATP1A3/NCF1/GRIK2/GABRD/GHR/CCR4/SCN11A/CLCN2/CNR2/KCNJ2/TMEM266/MAST1/SPTBN2/OPRM1/ZNF385A/KIF5C/AKAP12/ITGA8/ASTN2/USH2A/SNAP25/PDE1C/DAB2IP/SLC1A3/NEGR1/IGF2BP1/DPYSL5/ACVRL1/OPRK1/CRMP1/SOS1/SYNPO/NRXN1/SLC8A1/KCNC2/GRIA2/SERPINF1/MAPT/USP33/KCNN3/TRPC5/KCNB1/AURKA/CNTN2/KCND3/EPHA4/ATP7A/TUBB4A/SCN1A/GRIA1/ERMN/PLXDC1/SYT5/SNCA/CYP17A1/CPNE5/NRSN1/MPL/SV2A/SLC6A1/CACNA1E/RTN4R/TTBK1/CACNA1A/CACNA1F/TPX2/CHRNA3/THY1/MAPK8IP2/TGFB3",84
"GO:0045177","apical part of cell","81/2005","469/19886",0.1727078891258,1.71295216117489,5.23214571338308,9.41092367668024e-07,6.80772148915144e-05,NA,"SLC29A4/SLC16A1/DUOX1/ANK2/CLIC5/LGMN/ERBB3/LDLR/ERBB2/LRP2/SLC24A4/GP2/WDPCP/SLC6A14/SLC16A2/SLC13A1/SLC47A2/SLC12A3/PARD6G/LHFPL5/ABCB1/RAPGEF6/HFE/ANXA13/OTOA/CEACAM5/RIPOR2/SLC52A3/DSG2/SLC7A9/SPTBN2/SLC6A20/SLC2A5/CD300LG/CDH2/ITGA8/USH2A/SLC9A4/ABCG8/SLC15A2/SLC16A3/NHS/ABCB11/PTPRO/PFKM/C5AR2/SLC7A11/SLC14A2/PDE4D/SLC6A19/KCNC2/ATP1B2/MARVELD2/SLC15A1/KCNB1/PATJ/SHROOM4/PROM2/ASPM/ATP7A/P2RY6/TRPM6/SCNN1A/KCNE1/ADGRG2/UPK1B/KCNE4/FRMD1/SLC26A4/KIAA1614/ATP6V0D2/RAB27A/SLC12A1/SLC3A1/THY1/CA14/MYO7A/SLC4A5/MUC17/PTPRH/SLC22A11",81
