"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022839","monoatomic ion gated channel activity","75/1922","325/18496",0.230769230769231,2.22076362763147,7.56090949675127,1.96571976697345e-11,1.44374273583876e-08,NA,"CHRNA2/CACNB4/CLCNKB/KCNMB4/CLIC5/GLRA1/TMC2/RYR2/CACNG5/P2RX7/MCOLN3/GRIK2/GABRD/TMC7/PIEZO2/TMC5/GABRG3/SCN11A/CLCN2/GRIN2B/GRIN2C/GABRB2/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/OPRM1/SCN9A/KCNQ5/SNAP25/TMC1/KCNJ11/CHRNA1/ABCC8/KCNC2/GRIN2A/GRIA2/TMEM37/KCNN3/CACNB2/CNGB1/KCNB1/KCND3/CHRNB4/GRIA3/SCNN1A/SCN1A/GRIA1/KCNE1/KCNJ3/KCNG1/NALCN/CACHD1/KCNE4/LRRC38/KCNJ6/P2RX5/KCNMB1/SCN2A/SCN3B/TMC8/CACNA1E/KCNH5/HTR3B/KCNG4/KCNA7/TRPM8/KCNA3/CACNA1A/CACNA1F/KCNV1/CHRNA3/GABRB3/SCN2B",75
"GO:0022836","gated channel activity","75/1922","326/18496",0.230061349693252,2.21395146926451,7.53048336858142,2.29895340101714e-11,1.44374273583876e-08,NA,"CHRNA2/CACNB4/CLCNKB/KCNMB4/CLIC5/GLRA1/TMC2/RYR2/CACNG5/P2RX7/MCOLN3/GRIK2/GABRD/TMC7/PIEZO2/TMC5/GABRG3/SCN11A/CLCN2/GRIN2B/GRIN2C/GABRB2/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/OPRM1/SCN9A/KCNQ5/SNAP25/TMC1/KCNJ11/CHRNA1/ABCC8/KCNC2/GRIN2A/GRIA2/TMEM37/KCNN3/CACNB2/CNGB1/KCNB1/KCND3/CHRNB4/GRIA3/SCNN1A/SCN1A/GRIA1/KCNE1/KCNJ3/KCNG1/NALCN/CACHD1/KCNE4/LRRC38/KCNJ6/P2RX5/KCNMB1/SCN2A/SCN3B/TMC8/CACNA1E/KCNH5/HTR3B/KCNG4/KCNA7/TRPM8/KCNA3/CACNA1A/CACNA1F/KCNV1/CHRNA3/GABRB3/SCN2B",75
"GO:0005216","monoatomic ion channel activity","91/1922","443/18496",0.205417607223476,1.9767971192536,7.08633589816311,1.27498939083154e-10,5.33795558294806e-08,NA,"CHRNA2/CACNB4/CLCNKB/KCNMB4/CLIC5/GLRA1/TMC2/SLC24A4/RYR2/CACNG5/P2RX7/SLC26A8/TRPV3/MCOLN3/GRIK2/GABRD/TMC7/PIEZO2/TMC5/GABRG3/SCN11A/CLCN2/GRIN2B/GRIN2C/GABRB2/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/OPRM1/TMEM38A/SCN9A/TRPM3/KCNQ5/SNAP25/TMC1/KCNJ11/APOL1/CHRNA1/GJC1/ABCC8/KCNC2/NOX5/GRIN2A/GRIA2/TMEM37/KCNN3/CACNB2/CNGB1/TRPC5/KCNB1/KCND3/CHRNB4/GRIA3/TRPM6/SCNN1A/SCN1A/GRIA1/KCNE1/KCNJ3/BSND/KCNG1/NALCN/CACHD1/KCNE4/ATP5MGL/LRRC38/KCNJ6/P2RX5/KCNMB1/SCN2A/SCN3B/PKD1L2/TMC8/CACNA1E/KCNH5/HTR3B/KCNG4/KCNA7/TRPM8/KCNA3/CACNA1A/CACNA1F/KCNV1/SLC6A4/CHRNA3/PKD1L1/GABRB3/LRRC8E/SCN2B",91
"GO:0005261","monoatomic cation channel activity","72/1922","333/18496",0.216216216216216,2.08071547093399,6.77688141397517,1.09867707109975e-09,2.9833104945109e-07,NA,"CHRNA2/CACNB4/KCNMB4/TMC2/SLC24A4/RYR2/CACNG5/P2RX7/TRPV3/MCOLN3/GRIK2/PIEZO2/SCN11A/GRIN2B/GRIN2C/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/OPRM1/TMEM38A/SCN9A/TRPM3/KCNQ5/SNAP25/TMC1/KCNJ11/CHRNA1/ABCC8/KCNC2/NOX5/GRIN2A/TMEM37/KCNN3/CACNB2/CNGB1/TRPC5/KCNB1/KCND3/CHRNB4/TRPM6/SCNN1A/SCN1A/KCNE1/KCNJ3/KCNG1/NALCN/CACHD1/KCNE4/ATP5MGL/LRRC38/KCNJ6/P2RX5/KCNMB1/SCN2A/SCN3B/PKD1L2/CACNA1E/KCNH5/HTR3B/KCNG4/KCNA7/TRPM8/KCNA3/CACNA1A/CACNA1F/KCNV1/SLC6A4/CHRNA3/PKD1L1/SCN2B",72
"GO:0046873","metal ion transmembrane transporter activity","88/1922","441/18496",0.199546485260771,1.92029749811822,6.66099307215894,1.18762360450275e-09,2.9833104945109e-07,NA,"CACNB4/KCNMB4/SLC13A3/TMC2/SLC24A4/RYR2/CACNG5/SLC6A14/SLC13A1/SLC12A3/TRPV3/SLC9A7/MCOLN3/ATP1A3/SLC6A15/GRIK2/SCN11A/GRIN2B/GRIN2C/KCNJ2/KCNJ16/SCN3A/KCNAB2/SLC6A20/KCNS1/OPRM1/TMEM38A/SCN9A/TRPM3/SLC9A4/SLC30A10/KCNQ5/SLC13A5/SNAP25/TMC1/KCNJ11/SLC1A3/ABCC8/SLC28A2/SLC8A1/KCNC2/GRIN2A/TMEM37/KCNN3/CACNB2/TRPC5/KCNB1/KCND3/SLC11A1/ATP7B/ATP7A/TRPM6/SCNN1A/SCN1A/KCNE1/KCNJ3/KCNG1/NALCN/CACHD1/SLC6A11/KCNE4/SLC5A5/TUSC3/LRRC38/SLC18A1/KCNJ6/KCNMB1/SCN2A/SCN3B/SLC6A1/PKD1L2/CACNA1E/KCNH5/KCNG4/KCNA7/TRPM8/KCNA3/CACNA1A/CACNA1F/KCNV1/SLC12A1/SLC30A3/SLC6A4/PKD1L1/SLC4A5/SLC12A9/NIPAL2/SCN2B",88
"GO:0005244","voltage-gated monoatomic ion channel activity","49/1922","200/18496",0.245,2.35771071800208,6.57407055387422,7.62869879287723e-09,1.36880652626483e-06,NA,"CACNB4/CLCNKB/KCNMB4/CLIC5/TMC2/CACNG5/SCN11A/CLCN2/GRIN2B/GRIN2C/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/OPRM1/SCN9A/KCNQ5/SNAP25/TMC1/KCNJ11/ABCC8/KCNC2/GRIN2A/TMEM37/KCNN3/CACNB2/KCNB1/KCND3/SCN1A/KCNE1/KCNJ3/KCNG1/NALCN/CACHD1/KCNE4/LRRC38/KCNJ6/SCN2A/SCN3B/CACNA1E/KCNH5/KCNG4/KCNA7/KCNA3/CACNA1A/CACNA1F/KCNV1/SCN2B",49
"GO:0022832","voltage-gated channel activity","49/1922","200/18496",0.245,2.35771071800208,6.57407055387422,7.62869879287723e-09,1.36880652626483e-06,NA,"CACNB4/CLCNKB/KCNMB4/CLIC5/TMC2/CACNG5/SCN11A/CLCN2/GRIN2B/GRIN2C/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/OPRM1/SCN9A/KCNQ5/SNAP25/TMC1/KCNJ11/ABCC8/KCNC2/GRIN2A/TMEM37/KCNN3/CACNB2/KCNB1/KCND3/SCN1A/KCNE1/KCNJ3/KCNG1/NALCN/CACHD1/KCNE4/LRRC38/KCNJ6/SCN2A/SCN3B/CACNA1E/KCNH5/KCNG4/KCNA7/KCNA3/CACNA1A/CACNA1F/KCNV1/SCN2B",49
"GO:0022843","voltage-gated monoatomic cation channel activity","39/1922","153/18496",0.254901960784314,2.45300034686091,6.14563046339726,8.12447957316882e-08,1.2755432929875e-05,NA,"CACNB4/TMC2/CACNG5/SCN11A/KCNJ2/KCNJ16/SCN3A/KCNAB2/KCNS1/OPRM1/SCN9A/KCNQ5/SNAP25/TMC1/KCNJ11/ABCC8/KCNC2/KCNN3/CACNB2/KCNB1/KCND3/SCN1A/KCNE1/KCNJ3/KCNG1/CACHD1/KCNE4/LRRC38/KCNJ6/SCN2A/CACNA1E/KCNH5/KCNG4/KCNA7/KCNA3/CACNA1A/CACNA1F/KCNV1/SCN2B",39
"GO:0140375","immune receptor activity","36/1922","147/18496",0.244897959183673,2.35672874769054,5.62387535520888,7.23957517302296e-07,0.000101032293525743,NA,"KLRD1/PIGR/KLRC1/GHR/CCR4/IFNLR1/IL17REL/IL21R/IL7R/IL22RA2/CSF2RA/IL2RB/C5AR2/IL17RE/FZD4/FCGR1A/IL17RD/IL23R/LILRA5/IL12RB1/IL31RA/CSF3R/IFNAR2/MPL/HLA-DQA1/CXCR5/CR2/CR1/CXCR2/F3/CCR6/FPR2/FCGR3A/LILRB1/IL12RB2/CCR1",36
"GO:0015079","potassium ion transmembrane transporter activity","35/1922","157/18496",0.222929936305732,2.14532367425121,4.90772739106635,9.95609830485957e-06,0.00125048594709036,NA,"KCNMB4/SLC24A4/SLC12A3/SLC9A7/ATP1A3/GRIK2/KCNJ2/KCNJ16/KCNAB2/KCNS1/TMEM38A/SLC9A4/KCNQ5/SNAP25/KCNJ11/ABCC8/KCNC2/KCNN3/KCNB1/KCND3/KCNE1/KCNJ3/KCNG1/KCNE4/LRRC38/KCNJ6/KCNMB1/KCNH5/KCNG4/KCNA7/KCNA3/KCNV1/SLC12A1/SLC12A9/SCN2B",35
