"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","24/923","86/9564",0.27906976744186,2.89168283403462,5.7591066641928,1.1446241016743e-06,0.000391503126248588,NA,"CACNB4/ITGA10/DMD/ITGA1/SNTB1/RYR2/CACNG5/DTNA/SGCB/LAMA2/DSG2/CDH2/ITGA8/SGCE/ITGB8/ITGB6/SLC8A1/CACNB2/CTNNA3/LAMA1/ITGA2B/CACNA1F/NOS1/TCF7",24
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","24/923","89/9564",0.269662921348315,2.7942103789548,5.55769467925591,2.24357092406068e-06,0.000391503126248588,NA,"ITGA10/ITGA1/COL6A6/TNN/COMP/COL6A3/LAMA2/FREM2/ITGA8/COL9A1/ITGB8/ITGB6/SPP1/DMP1/COL4A2/FREM1/TNR/LAMA1/ITGA2B/RELN/COL4A4/SV2A/AGRN/LAMC3",24
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","23/923","86/9564",0.267441860465116,2.77119604928318,5.39229240097446,4.24054281966725e-06,0.000400901236691706,NA,"PCLO/PLCB4/KCNMB4/RYR2/ADCY1/ATP1A3/ATP1B4/GPR119/SNAP25/KCNJ11/CAMK2A/PRKCA/GCK/ABCC8/ADCY2/RIMS2/ATP1B2/KCNN3/CHRM3/ATF6B/KCNMB1/CACNA1F/PLCB1",23
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","63/923","370/9564",0.17027027027027,1.76431729671166,4.90047554271225,4.59485658099376e-06,0.000400901236691706,NA,"C5/CHRNA2/APLNR/SPX/KNG1/P2RY2/GLRA1/ADM2/GALR1/MAS1/P2RX7/GRIK2/GABRD/GHR/GABRG3/GRIN2B/CNR2/GRIN2C/GABRB2/OPRM1/PTH2R/IAPP/MCHR2/BRS3/LPAR3/NPFFR2/CHRNA1/CALCRL/OPRK1/GPR83/SSTR3/ADRA1A/GRM7/NPFFR1/GRIN2A/GRIA2/GRM4/VIPR2/P2RY10/SSTR2/LPAR2/CHRNB4/NMUR1/TAAR5/P2RY6/GRIA3/GRIA1/GRM3/CHRM3/AVPR1B/MC2R/P2RX5/PRLHR/OPRD1/S1PR3/QRFPR/CHRNA3/GRM6/GABRB3/TBXA2R/FPR2/AVPR1A/UTS2R",63
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","39/923","199/9564",0.195979899497487,2.03071696510723,4.80206459379966,1.23178053394623e-05,0.000693040670285513,NA,"PLCB4/GNG4/P2RY2/GLRA1/ADCY1/GRIK2/GABRD/GNAO1/GABRG3/GRIN2B/GRIN2C/GABRB2/OPRM1/PRKCA/SLC1A3/OPRK1/ADRA1A/GRM7/ADCY2/GRIN2A/GRIA2/GRM4/CHRNB4/P2RY6/GRIA3/GRIA1/GRM3/SLC6A11/CHRM3/SLC18A1/P2RX5/OPRD1/SLC6A1/HTR3B/SLC6A4/CHRNA3/GRM6/PLCB1/GABRB3",39
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","25/923","105/9564",0.238095238095238,2.4671103544343,4.94027068074876,1.54332969899402e-05,0.000693040670285513,NA,"COL6A6/ATP1A3/MEP1A/COL6A3/ATP1B4/ELN/SLC7A9/COL9A1/CPB1/SLC7A7/PGA3/COL4A2/SLC8A1/SLC6A19/ATP1B2/SLC15A1/COL20A1/COL19A1/COL4A4/COL8A1/SLC36A2/COL15A1/SLC36A3/CPB2/SLC3A1",25
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","25/923","105/9564",0.238095238095238,2.4671103544343,4.94027068074876,1.54332969899402e-05,0.000693040670285513,NA,"CACNB4/ITGA10/DMD/ITGA1/SNTB1/RYR2/CACNG5/ADCY1/DTNA/TGFB2/SGCB/LAMA2/ITGA8/SGCE/ITGB8/ITGB6/ADCY2/SLC8A1/CACNB2/LAMA1/ITGA2B/CACNA1F/NOS1/IGF1/TGFB3",25
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","24/923","99/9564",0.242424242424242,2.5119669063331,4.94214518502909,1.64633679160188e-05,0.000693040670285513,NA,"CACNB4/ITGA10/DMD/ITGA1/SNTB1/RYR2/CACNG5/DTNA/TGFB2/SGCB/LAMA2/ITGA8/SGCE/ITGB8/ITGB6/ACE/SLC8A1/CACNB2/LAMA1/ITGA2B/CACNA1F/NOS1/IGF1/TGFB3",24
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","39/923","203/9564",0.192118226600985,1.99070283771595,4.66279400189064,1.99268667109099e-05,0.000693040670285513,NA,"ITGA10/CCND2/ITGA1/ERBB2/AKT3/SHC4/COL6A6/PAK3/PAK4/TNN/PIK3R3/COMP/TLN2/PARVA/COL6A3/LAMA2/RASGRF1/ITGA8/COL9A1/ITGB8/PRKCA/ITGB6/MAPK3/MYLK/SPP1/SOS1/ARHGAP35/COL4A2/MYLK3/TNR/MYL10/LAMA1/ITGA2B/RELN/COL4A4/MAPK10/FLT1/IGF1/LAMC3",39
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","43/923","233/9564",0.184549356223176,1.912275236098,4.60739745034656,2.13637336142451e-05,0.000693040670285513,NA,"ITGA10/ANK2/DMD/ITGA1/SNTB1/COL6A6/DTNA/FBN2/SGCB/ATP1A3/COMP/TLN2/COL6A3/LAMA2/ATP1B4/DSG2/ELN/SPTBN2/ITGA8/COL9A1/MYPN/LDB3/SGCE/ITGB8/ITGB6/TMOD2/MYOM3/COL4A2/CAPN3/ATP1B2/SYNPO2/LAMA1/ITGA2B/COL4A4/MYOZ3/ANK3/MYH3/MYH11/LMOD3/FMN2/AGRN/MYH8/MYH7B",43
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","32/923","154/9564",0.207792207792208,2.15311449114266,4.71469827403199,2.1843688748254e-05,0.000693040670285513,NA,"ITGA10/CCND2/ITGA1/ERBB2/AKT3/COL6A6/TNN/PIK3R3/COMP/TLN2/PARVA/COL6A3/LAMA2/FREM2/ITGA8/COL9A1/ITGB8/ITGB6/SPP1/DMP1/COL4A2/FREM1/TNR/LAMA1/ITGA2B/RELN/COL4A4/FGB/ITGAL/FLT1/IGF1/LAMC3",32
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","25/923","116/9564",0.21551724137931,2.23316023461725,4.36711360653003,9.1184894965028e-05,0.0026519606952329,NA,"PLCB4/DLGAP1/GNG4/ADCY1/GRIK2/GNAO1/GRIN2B/GRIN2C/PRKCA/SLC1A3/MAPK3/GRM7/ADCY2/GRIN2A/GRIA2/GRM4/GRIA3/GRIA1/GRM3/KCNJ3/SHANK3/CACNA1A/DLG4/GRM6/PLCB1",25
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","21/923","91/9564",0.230769230769231,2.39119926660555,4.35794950063721,0.000117863251866833,0.00316417499242497,NA,"PDE4C/GNG4/ADCY1/GABRD/GNAO1/GABRG3/GABRB2/OPRM1/PDE3B/PDE1C/PRKCA/PDE4D/ADCY2/KCNJ3/PDE7A/GRK4/KCNJ6/GRK5/CACNA1A/GABRB3/PDE10A",21
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","20/923","88/9564",0.227272727272727,2.35496897468728,4.17324697235695,0.00021196611453418,0.00528401242660205,NA,"C5/KNG1/CFH/CFHR4/MASP1/CFI/CFHR2/CFHR1/F5/MASP2/FGB/C2/C7/CPB2/CR2/C4BPB/F12/CR1/F3/C1QB",20
