"symbol","log2FoldChange","padj","Direccion"
"SIGLEC12",-5.87433565049479,1.70514405883122e-08,"Infraexpresado (DOWN)"
"GSDMD",-8.5414469832213,1.70514405883122e-08,"Infraexpresado (DOWN)"
"BOP1",-3.31165713658234,3.21435177204064e-08,"Infraexpresado (DOWN)"
"BDP1",2.51032325818419,3.94303881427149e-08,"Sobreespresado (UP)"
"UTY",5.47514859003491,9.37783985808387e-08,"Sobreespresado (UP)"
"GUCY1A1",5.60918355604446,1.31451393862044e-07,"Sobreespresado (UP)"
"FCGR2A",-2.72363825478829,3.62804211448181e-07,"Infraexpresado (DOWN)"
"BYSL",-3.78190014015741,1.37755586707421e-06,"Infraexpresado (DOWN)"
"CATSPERT",5.98592842339855,1.90308245140294e-06,"Sobreespresado (UP)"
"ITGAL",2.39666424535457,2.08438008390526e-06,"Sobreespresado (UP)"
"BMERB1",-2.88740148000557,2.08438008390526e-06,"Infraexpresado (DOWN)"
"DHX34",-3.1102540564412,3.65566986734618e-06,"Infraexpresado (DOWN)"
"EREG",2.39007933055776,6.31956303069695e-06,"Sobreespresado (UP)"
"HSPBP1",-2.81367955968719,6.31956303069695e-06,"Infraexpresado (DOWN)"
"AK6",10.2964081139646,6.45713947107541e-06,"Sobreespresado (UP)"
"GRIN2B",4.7242441149869,9.34536031809003e-06,"Sobreespresado (UP)"
"EIF1AY",3.89935473622145,9.59597888864481e-06,"Sobreespresado (UP)"
